,cell_name,total_mass,chr1_mass,cell_type
1303,arc_pair_115634,38.530725,9.239436999999999,B cells
1305,arc_pair_536444,26.754331,7.2413680000000005,Dendritic cells
1308,arc_pair_172924,42.645255999999996,11.688558,Monocytes
1311,arc_pair_514535,22.857277,6.060677999999999,Monocytes
1319,arc_pair_377057,22.658790000000003,4.414286000000001,NK cells
1326,arc_pair_299485,39.29222299999999,9.422807,Monocytes
1328,arc_pair_349555,41.748925,11.474355000000001,Monocytes
1335,arc_pair_370511,40.7115,13.615326,CD4+ T cells
1339,arc_pair_632794,30.379873,8.099605,Monocytes
1342,arc_pair_617570,35.533127,10.297375,Monocytes
1347,arc_pair_57840,33.130098000000004,10.54878,Monocytes
1350,arc_pair_730074,29.876888,8.313806,Monocytes
1353,arc_pair_177399,24.323821000000002,7.590646,Monocytes
1362,arc_pair_264919,24.023294999999997,8.007688,Monocytes
1366,arc_pair_422323,37.079876999999996,8.695367000000001,B cells
1376,arc_pair_377942,51.193691,14.562422,CD4+ T cells
1387,arc_pair_100861,81.452319,27.721539,Dendritic cells
1395,arc_pair_27742,31.777158,8.914529,Dendritic cells
1445,arc_pair_198453,26.043491000000003,7.846034000000001,Dendritic cells
1451,arc_pair_699029,34.955354,11.353572,Monocytes
1469,arc_pair_202018,31.3437,8.366555,Dendritic cells
1470,arc_pair_279872,33.42196,9.143754,Monocytes
1480,arc_pair_387059,149.573521,43.439302,Monocytes
1489,arc_pair_160240,70.511823,25.668924000000004,Monocytes
1490,arc_pair_234448,177.74737599999997,39.32421,T cells
1494,arc_pair_488128,80.723505,25.758882,Monocytes
1503,arc_pair_636132,47.818377999999996,10.014058,B cells
1505,arc_pair_457716,57.764609,15.085441,Monocytes
1542,arc_pair_641664,34.004473,11.556569,Monocytes
1559,arc_pair_226422,252.88959600000004,67.546468,CD4+ T cells
1561,arc_pair_697017,45.951074,11.485619,CD4+ T cells
1580,arc_pair_445286,36.701225,13.093913,Monocytes
1584,arc_pair_87955,25.037118999999997,7.636649,Dendritic cells
1586,arc_pair_610407,56.387918000000006,16.807757,NK cells
1594,arc_pair_546377,43.810148,9.799816,Monocytes
1596,arc_pair_537234,61.876560000000005,17.226582,Monocytes
1597,arc_pair_58054,33.519896,9.781043,Dendritic cells
1604,arc_pair_386609,36.132953,12.171612,Monocytes
