,arc_pair_48468,arc_pair_337111,arc_pair_542791,arc_pair_313438,arc_pair_624573,arc_pair_144158,arc_pair_720681,arc_pair_588558,arc_pair_450035,arc_pair_384979,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_149569
arc_pair_48468,0.0,4.677973407554298,4.639010209397174,5.025361998053336,5.391033253821618,4.847497075796096,4.139010291478455,5.251770131354782,3.919364881986909,4.17116154309425,4.86670880161083,5.546373131939828,5.0599365423479234,5.550467007657872,5.472221114272535,4.4325196753999485,3.8859331248096365,5.048198275629706
arc_pair_337111,4.677973407554298,0.0,3.568034583565113,6.634311025064894,0.8973422361193064,0.9382242318366629,1.2897406733845702,0.7355912253980066,0.8410441712948588,1.079701025170568,2.030932320361256,1.087409475842143,0.5588652154142877,1.0816597000809378,1.1822712182941442,1.430797276319034,4.019097786060605,0.8364840262138562
arc_pair_542791,4.639010209397174,3.568034583565113,0.0,4.3251425136432555,3.953250868914254,3.5438212284343447,3.068086000228919,3.8856039184781612,2.3783011335303463,3.1298014384625787,4.308165084135927,3.8721881810217096,3.512245810596037,4.12987553255642,3.7910461242728126,3.6911209364781667,3.3281886226434443,3.9311167190775853
arc_pair_313438,5.025361998053336,6.634311025064894,4.3251425136432555,0.0,7.493180212751329,7.44259029632625,5.811320603559877,7.500362997238486,5.415349228730557,6.185581038096824,5.967077274999577,7.768939985382983,7.14787884437174,7.770359935188272,7.304817469762299,6.003164159932888,3.5090995777299403,7.465612632447733
arc_pair_624573,5.391033253821618,0.8973422361193064,3.953250868914254,7.493180212751329,0.0,0.649051451295366,1.212725130173951,0.48789367749842155,0.9604285225650913,0.6805491580407653,1.9079631253442757,0.4946189920132204,0.536851427100968,0.6459086590239045,0.8411166094622695,1.5085411932266792,4.647576796298964,0.5050356534778081
arc_pair_144158,4.847497075796096,0.9382242318366629,3.5438212284343447,7.44259029632625,0.649051451295366,0.0,0.9914375515932268,0.5416352178911389,0.7713187213546382,0.8040736137111628,2.1965301868028044,0.9262999408495606,0.6312656778143846,0.7731396742222503,0.9322450366729053,1.6230548900378226,4.429785416433604,0.5170123325877346
arc_pair_720681,4.139010291478455,1.2897406733845702,3.068086000228919,5.811320603559877,1.212725130173951,0.9914375515932268,0.0,1.121569847344649,0.9410289261421709,1.0235794320402192,2.2386371970878916,1.4163833285381484,1.018557050502479,1.312836577904243,1.4521356561828207,1.7630472046296917,3.5760482854967646,1.2318682360931557
arc_pair_588558,5.251770131354782,0.7355912253980066,3.8856039184781612,7.500362997238486,0.48789367749842155,0.5416352178911389,1.121569847344649,0.0,0.7615294365387939,0.769641895740415,2.0926540453739197,0.7368985921676557,0.3307347945060177,0.7129243637038956,0.7078814679312893,1.6021433354461099,4.727927402222785,0.47186362931008813
arc_pair_450035,3.919364881986909,0.8410441712948588,2.3783011335303463,5.415349228730557,0.9604285225650913,0.7713187213546382,0.9410289261421709,0.7615294365387939,0.0,0.7793304895319624,2.0250075591932366,1.2167820049752196,0.6946625982760362,1.2128063071743735,1.100266469320331,1.352336887977427,3.2435739745009697,0.9449307933062285
arc_pair_384979,4.17116154309425,1.079701025170568,3.1298014384625787,6.185581038096824,0.6805491580407653,0.8040736137111628,1.0235794320402192,0.769641895740415,0.7793304895319624,0.0,1.9881291247072266,0.9696466181683898,0.8335616572460882,1.015337836550087,1.1115265739949582,1.2759218907950414,3.444534050903302,0.7294222054188713
