,arc_pair_48468,arc_pair_337111,arc_pair_542791,arc_pair_313438,arc_pair_624573,arc_pair_144158,arc_pair_720681,arc_pair_588558,arc_pair_450035,arc_pair_384979,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_149569
arc_pair_48468,0.0,183.76354141647755,44.15426479021143,15.833298402776164,48.987597044074576,47.2648039827111,31.97375301267474,179.55975981591712,28.508970179761537,43.916736359074605,27.695131592490373,35.098082019002106,146.489697679732,34.56328760768947,56.63548053665979,117.42638159829554,20.198080645771675,29.78708965489086
arc_pair_337111,183.76354141647755,0.0,88.41987108909396,188.87301406472776,143.34277618446671,117.09331194785756,243.5039455902983,27.007273228982868,138.96380636532626,231.30098195778356,274.7163687051719,153.65490307102826,24.4390588551769,175.547934725336,281.88039479642043,41.55097062150353,197.2303649765276,180.16640851421383
arc_pair_542791,44.15426479021143,88.41987108909396,0.0,44.987047210310955,17.8313509739988,10.271280890259955,84.32218154503289,95.46702506850437,20.43678625210062,72.87152834965408,93.1028122804097,45.700473180352546,59.79071575261057,43.83516192060284,96.207262077219,63.111938529709924,50.93025895371724,41.791757333990596
arc_pair_313438,15.833298402776164,188.87301406472776,44.987047210310955,0.0,44.78813697092097,51.7667846856776,22.995558952484828,187.53255087173608,22.957704449064018,17.274342928073853,24.817655459828668,17.56402975146472,142.04827227861634,18.137928151970023,26.406005586343188,141.3923045994147,3.897139363318647,18.538947243147962
arc_pair_624573,48.987597044074576,143.34277618446671,17.8313509739988,44.78813697092097,0.0,15.876286746033738,85.81604930667294,156.89173744950762,20.290817068154578,68.15722325945548,89.88639168084352,42.8634826954775,100.09941656586147,42.26238599975302,82.68027280256385,117.15632296606026,50.81287585274183,28.2369616509643
arc_pair_144158,47.2648039827111,117.09331194785756,10.271280890259955,51.7667846856776,15.876286746033738,0.0,89.97973657000205,116.50875576214567,27.656741261934826,79.69668721792785,94.28175454707525,58.097413352074106,84.86831734820066,47.039098870808395,102.11940234632566,73.36348665551746,56.81687434675971,46.48464389284489
arc_pair_720681,31.97375301267474,243.5039455902983,84.32218154503289,22.995558952484828,85.81604930667294,89.97973657000205,0.0,236.20013331184654,60.17885161299538,19.044979949733847,21.897560365631485,44.15944609287678,199.4378139291351,35.654047025158185,27.894544365576927,178.10623763149886,15.914368192688483,49.62851744837948
arc_pair_588558,179.55975981591712,27.007273228982868,95.46702506850437,187.53255087173608,156.89173744950762,116.50875576214567,236.20013331184654,0.0,137.14388119312076,221.75010515719396,268.9758617950661,162.32586650435985,45.87838127996319,172.3873621114809,280.30360854724273,30.299788847356808,193.27487167640817,184.96048832637257
arc_pair_450035,28.508970179761537,138.96380636532626,20.43678625210062,22.957704449064018,20.290817068154578,27.656741261934826,60.17885161299538,137.14388119312076,0.0,41.12621145082725,66.84615544881885,27.452697730014204,94.95069916574508,32.57578122799176,59.483505431133864,108.98043742988669,28.787982757432385,14.841799384665032
arc_pair_384979,43.916736359074605,231.30098195778356,72.87152834965408,17.274342928073853,68.15722325945548,79.69668721792785,19.044979949733847,221.75010515719396,41.12621145082725,0.0,32.27248247024336,33.89539421578726,176.08567838385866,26.77629324693573,15.77483602516116,183.5008289825817,12.127693865827558,32.06120033253842
