,arc_pair_48468,arc_pair_337111,arc_pair_542791,arc_pair_313438,arc_pair_624573,arc_pair_144158,arc_pair_720681,arc_pair_588558,arc_pair_450035,arc_pair_384979,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_149569
arc_pair_48468,0.0,43.84524113677029,34.918027357368665,27.434591749648916,44.38060097257739,39.27632353715314,31.329073424644566,43.31289113811906,33.342776236006756,32.93378866479769,39.16618105122369,46.00210138033358,40.72989461126535,45.410766188873055,44.95015552072259,35.07957617436482,27.02713087883822,40.663835088660534
arc_pair_337111,43.84524113677029,0.0,31.4274087171939,47.79373021597688,5.856977835332263,7.176654224807833,11.116753291973378,3.611625868155551,5.006495387553548,9.907475539890068,13.794949892334097,7.231244179953249,2.94367294054775,8.17968725511661,7.9524333299347525,12.842885807367454,37.69911544492488,5.947358761237713
arc_pair_542791,34.918027357368665,31.4274087171939,0.0,26.5923720442823,30.222174423254998,26.624145562660033,22.38510736510671,30.209381229840595,19.931520960757446,23.11474128982413,33.26632112231361,29.55666234386402,26.30418554640009,31.60271831590112,28.97996555322996,27.89092770787999,24.864092415103766,30.009368229176598
arc_pair_313438,27.434591749648916,47.79373021597688,26.5923720442823,0.0,47.7512501122278,46.61239048513147,33.81122010359021,48.291563970381986,35.04393712278918,36.24497082335637,37.954836350502184,50.35151501680372,43.96460372984066,49.66435344188829,45.993960888143334,35.21699841296375,18.18883185720655,46.7202879667795
arc_pair_624573,44.38060097257739,5.856977835332263,30.222174423254998,47.7512501122278,0.0,5.794114661015226,10.63400191062215,4.452628704200684,6.579642634604378,6.111008472308086,13.917944969287188,4.542620037617563,4.983485242341422,5.933390250473945,7.7637271972359745,12.5371520405652,36.175115719091565,4.484719344140613
arc_pair_144158,39.27632353715314,7.176654224807833,26.624145562660033,46.61239048513147,5.794114661015226,0.0,8.570910257554043,4.987715452437957,5.37226413073658,6.954274330588524,16.27062245895775,8.403342075638236,5.811138250550018,7.085437544027069,8.596557749775894,13.476036476893452,33.82755343356462,4.608089878823005
arc_pair_720681,31.329073424644566,11.116753291973378,22.38510736510671,33.81122010359021,10.63400191062215,8.570910257554043,0.0,9.684536803054241,7.13800250622308,8.289809359853317,16.745246387512097,12.441651872828935,8.500202825523985,11.563009505825761,12.429386019687641,13.923888858680789,26.27944565642263,10.2716188793408
arc_pair_588558,43.31289113811906,3.611625868155551,30.209381229840595,48.291563970381986,4.452628704200684,4.987715452437957,9.684536803054241,0.0,4.534772945401556,7.081039670085901,15.074030156122328,6.828959603511159,3.0194712428111856,6.596214100256136,6.619020698733507,13.294018884828626,37.335902837505856,4.326614375406727
arc_pair_450035,33.342776236006756,5.006495387553548,19.931520960757446,35.04393712278918,6.579642634604378,5.37226413073658,7.13800250622308,4.534772945401556,0.0,6.163689522344031,13.701647194503227,8.591324604603493,3.7972532741810565,8.976827052964877,7.80009195713671,10.456182375721998,27.188532470567917,6.4729379714507225
arc_pair_384979,32.93378866479769,9.907475539890068,23.11474128982413,36.24497082335637,6.111008472308086,6.954274330588524,8.289809359853317,7.081039670085901,6.163689522344031,0.0,14.824676330473448,8.761869949215054,7.355382052459533,9.223894140965331,9.9657582675734,10.461238226377805,25.27126156924561,6.441866923470597
arc_pair_131562,39.16618105122369,13.794949892334097,33.26632112231361,37.954836350502184,13.917944969287188,16.27062245895775,16.745246387512097,15.074030156122328,13.701647194503227,14.824676330473448,0.0,15.990590303866535,14.305567810091256,17.395061519280574,17.19285208966239,14.963123536443895,32.136358940690066,15.693217470128952
arc_pair_119264,46.00210138033358,7.231244179953249,29.55666234386402,50.35151501680372,4.542620037617563,8.403342075638236,12.441651872828935,6.828959603511159,8.591324604603493,8.761869949215054,15.990590303866535,0.0,6.040010853572612,8.314778767775508,8.571886413374566,14.42900393132162,38.294960818146166,7.093476119911413
arc_pair_16513,40.72989461126535,2.94367294054775,26.30418554640009,43.96460372984066,4.983485242341422,5.811138250550018,8.500202825523985,3.0194712428111856,3.7972532741810565,7.355382052459533,14.305567810091256,6.040010853572612,0.0,6.8892127158223,6.844569251955164,10.901458124395726,34.00695015518668,5.319917651201818
arc_pair_641885,45.410766188873055,8.17968725511661,31.60271831590112,49.66435344188829,5.933390250473945,7.085437544027069,11.563009505825761,6.596214100256136,8.976827052964877,9.223894140965331,17.395061519280574,8.314778767775508,6.8892127158223,0.0,7.720056542505012,15.922612817670172,37.54171586221106,6.51067359950563
arc_pair_703887,44.95015552072259,7.9524333299347525,28.97996555322996,45.993960888143334,7.7637271972359745,8.596557749775894,12.429386019687641,6.619020698733507,7.80009195713671,9.9657582675734,17.19285208966239,8.571886413374566,6.844569251955164,7.720056542505012,0.0,16.34712200903717,35.82976262125568,7.30600770494825
arc_pair_22407,35.07957617436482,12.842885807367454,27.89092770787999,35.21699841296375,12.5371520405652,13.476036476893452,13.923888858680789,13.294018884828626,10.456182375721998,10.461238226377805,14.963123536443895,14.42900393132162,10.901458124395726,15.922612817670172,16.34712200903717,0.0,27.657738532515573,11.625899573366896
arc_pair_89302,27.02713087883822,37.69911544492488,24.864092415103766,18.18883185720655,36.175115719091565,33.82755343356462,26.27944565642263,37.335902837505856,27.188532470567917,25.27126156924561,32.136358940690066,38.294960818146166,34.00695015518668,37.54171586221106,35.82976262125568,27.657738532515573,0.0,33.57400699558614
arc_pair_149569,40.663835088660534,5.947358761237713,30.009368229176598,46.7202879667795,4.484719344140613,4.608089878823005,10.2716188793408,4.326614375406727,6.4729379714507225,6.441866923470597,15.693217470128952,7.093476119911413,5.319917651201818,6.51067359950563,7.30600770494825,11.625899573366896,33.57400699558614,0.0
