,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,33935.091101461025,31020.418899757293,29522.111636304806,17933.835912326165,27022.520192234464,32451.692866300094,23694.883512960827,23746.31981311483,27151.116180358666,28699.788099211204,24874.255108356843
cell79_HeLa_,33935.091101461025,0.0,42869.07166360055,22162.39804009213,28355.241853326897,33471.64448429409,22139.752476574467,30212.551046426266,32645.505297050076,27914.389117055074,34935.87969314685,20537.814793749014
cell496_HAP1_,31020.418899757293,42869.07166360055,0.0,39813.58055417029,22185.1750268319,16820.108107500968,29298.169911246707,33261.50343005439,29885.590565129336,18642.291223768432,21253.590515041262,31429.481135229536
cell469_HAP1_,29522.111636304806,22162.39804009213,39813.58055417029,0.0,22089.572296240945,27738.740350146574,18880.44500121795,27941.340917308582,23578.40294222065,28222.68163157364,36388.25030662837,14258.651468476926
cell315_HeLa_,17933.835912326165,28355.241853326897,22185.1750268319,22089.572296240945,0.0,15583.530321434588,21434.462865744725,18316.056429977918,19068.653321091202,16686.17535885786,16697.54820177223,14228.395303243533
cell602_K562_,27022.520192234464,33471.64448429409,16820.108107500968,27738.740350146574,15583.530321434588,0.0,18841.350312938714,22727.419503581095,17809.058241819966,17201.242140807688,23071.504351924996,17627.39948877637
cell617_GM12878_,32451.692866300094,22139.752476574467,29298.169911246707,18880.44500121795,21434.462865744725,18841.350312938714,0.0,20705.732376377884,13932.330749024091,25590.099735293785,26883.150497669867,8782.238371507918
cell603_GM12878_,23694.883512960827,30212.551046426266,33261.50343005439,27941.340917308582,18316.056429977918,22727.419503581095,20705.732376377884,0.0,18688.327006442825,25678.903470837908,30660.090906626407,14086.7247557156
cell535_K562_,23746.31981311483,32645.505297050076,29885.590565129336,23578.40294222065,19068.653321091202,17809.058241819966,13932.330749024091,18688.327006442825,0.0,21354.744002443524,20164.923551241474,11675.135842518233
cell562_GM12878_,27151.116180358666,27914.389117055074,18642.291223768432,28222.68163157364,16686.17535885786,17201.242140807688,25590.099735293785,25678.903470837908,21354.744002443524,0.0,16153.169631501067,22645.051019466126
cell200_HAP1_,28699.788099211204,34935.87969314685,21253.590515041262,36388.25030662837,16697.54820177223,23071.504351924996,26883.150497669867,30660.090906626407,20164.923551241474,16153.169631501067,0.0,25443.014670024724
cell500_K562_,24874.255108356843,20537.814793749014,31429.481135229536,14258.651468476926,14228.395303243533,17627.39948877637,8782.238371507918,14086.7247557156,11675.135842518233,22645.051019466126,25443.014670024724,0.0
