,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,893.70936497969,1082.3982200168377,853.2742678752145,440.27214618249695,812.7997670719175,892.6241860037917,901.642870502577,713.6065055345059,830.8207690295633,842.941169988452,549.401048072313
cell79_HeLa_,893.70936497969,0.0,1262.180706696181,968.6201739760415,868.4684100995722,1139.141582985921,911.7252159515654,1114.9527404217913,951.0841088749416,949.4277706010168,1093.3000030305889,744.2004661158556
cell496_HAP1_,1082.3982200168377,1262.180706696181,0.0,1107.2177360058267,881.3406009732789,1011.9769886062571,1131.5481948022998,1126.7834895495625,1062.9078753493502,961.0920612933646,1067.6352459047748,972.2922546015857
cell469_HAP1_,853.2742678752145,968.6201739760415,1107.2177360058267,0.0,692.219527947773,907.9851610979632,738.2655751847285,1033.2569672475868,695.1907162248726,917.9732509768824,1025.5540847836314,513.9033754157548
cell315_HeLa_,440.27214618249695,868.4684100995722,881.3406009732789,692.219527947773,0.0,687.4586504614388,769.2663542248758,828.2770109727642,642.4387894453598,708.8635334221406,703.9597385264344,481.78665594285474
cell602_K562_,812.7997670719175,1139.141582985921,1011.9769886062571,907.9851610979632,687.4586504614388,0.0,855.2905016424054,999.1050178614953,809.3042546790709,878.6764925948034,883.5333068704515,656.6286006174018
cell617_GM12878_,892.6241860037917,911.7252159515654,1131.5481948022998,738.2655751847285,769.2663542248758,855.2905016424054,0.0,888.3281536308164,687.4897076763986,998.2107649516133,1068.0161766234169,480.0325206202783
cell603_GM12878_,901.642870502577,1114.9527404217913,1126.7834895495625,1033.2569672475868,828.2770109727642,999.1050178614953,888.3281536308164,0.0,888.855395418971,1029.335172971116,1092.1714124102218,666.3777787801836
cell535_K562_,713.6065055345059,951.0841088749416,1062.9078753493502,695.1907162248726,642.4387894453598,809.3042546790709,687.4897076763986,888.855395418971,0.0,818.4467943582181,900.9026906088473,442.8495263060753
cell562_GM12878_,830.8207690295633,949.4277706010168,961.0920612933646,917.9732509768824,708.8635334221406,878.6764925948034,998.2107649516133,1029.335172971116,818.4467943582181,0.0,969.1725956350081,752.2206724259303
cell200_HAP1_,842.941169988452,1093.3000030305889,1067.6352459047748,1025.5540847836314,703.9597385264344,883.5333068704515,1068.0161766234169,1092.1714124102218,900.9026906088473,969.1725956350081,0.0,873.9702555878441
cell500_K562_,549.401048072313,744.2004661158556,972.2922546015857,513.9033754157548,481.78665594285474,656.6286006174018,480.0325206202783,666.3777787801836,442.8495263060753,752.2206724259303,873.9702555878441,0.0
