,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,5981.021206086076,6901.57675122256,5470.717803746593,3093.7425296878296,5620.658389520669,5943.093114646408,5818.110767581482,4724.89904589262,5761.390261716553,5547.041288520828,3958.941627240363
cell79_HeLa_,5981.021206086076,0.0,8314.928748862534,6007.095921236614,5758.694616271618,7485.9843905133075,5264.082855276394,6919.092455360604,6402.68003644013,5911.891258443464,7386.888302226181,4613.946919706393
cell496_HAP1_,6901.57675122256,8314.928748862534,0.0,7694.372433383234,5646.743875258171,5969.710657636238,6690.102563959039,7595.38089208845,6909.737764932032,5582.207605660404,6368.9303422063595,6479.994532379171
cell469_HAP1_,5470.717803746593,6007.095921236614,7694.372433383234,0.0,4260.580779932564,5920.1341757777,4404.045031919821,6146.744907422477,4741.908317521678,5934.115085235651,6678.284284674357,3116.4967328060866
cell315_HeLa_,3093.7425296878296,5758.694616271618,5646.743875258171,4260.580779932564,0.0,4284.3674030642915,4679.663655199969,4775.863907917453,3998.0199109634987,4486.848632720274,4097.608101025218,3013.1534994667736
cell602_K562_,5620.658389520669,7485.9843905133075,5969.710657636238,5920.1341757777,4284.3674030642915,0.0,4831.946084586737,5950.36705387295,4597.641691859627,5115.3527524254805,5558.857083446287,3971.0907636717675
cell617_GM12878_,5943.093114646408,5264.082855276394,6690.102563959039,4404.045031919821,4679.663655199969,4831.946084586737,0.0,5327.06110162324,3676.6634357894613,6043.345561815106,6252.234991014309,2617.193501630928
cell603_GM12878_,5818.110767581482,6919.092455360604,7595.38089208845,6146.744907422477,4775.863907917453,5950.36705387295,5327.06110162324,0.0,5151.993725513248,6120.364531444587,7193.148604028809,3799.6785289232535
cell535_K562_,4724.89904589262,6402.68003644013,6909.737764932032,4741.908317521678,3998.0199109634987,4597.641691859627,3676.6634357894613,5151.993725513248,0.0,4898.333675057638,5073.020863920014,2529.7659266441096
cell562_GM12878_,5761.390261716553,5911.891258443464,5582.207605660404,5934.115085235651,4486.848632720274,5115.3527524254805,6043.345561815106,6120.364531444587,4898.333675057638,0.0,5034.967731173099,4900.531894654498
cell200_HAP1_,5547.041288520828,7386.888302226181,6368.9303422063595,6678.284284674357,4097.608101025218,5558.857083446287,6252.234991014309,7193.148604028809,5073.020863920014,5034.967731173099,0.0,5254.159727032826
cell500_K562_,3958.941627240363,4613.946919706393,6479.994532379171,3116.4967328060866,3013.1534994667736,3971.0907636717675,2617.193501630928,3799.6785289232535,2529.7659266441096,4900.531894654498,5254.159727032826,0.0
