,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,2.0048668518551245,3.7594653744265987,1.3886033062351477,0.883274329331673,1.543275228018361,1.8251657041945726,1.9886654570597355,1.64124483233504,1.949854358341817,2.472378035885373,1.1350318498870808
cell79_HeLa_,2.0048668518551245,0.0,3.0939546702052225,2.059150500335247,1.5258089402485409,2.666011514764296,2.135635179876127,2.5268289258679513,2.144624368209037,2.228730704269087,2.2150019682251774,1.605293294856956
cell496_HAP1_,3.7594653744265987,3.0939546702052225,0.0,2.7778059905295107,3.084114868657818,3.76467031300124,3.478725687330997,3.1412838852660805,3.456876638033531,3.6009238757528195,4.097637469221357,2.6903885204943583
cell469_HAP1_,1.3886033062351477,2.059150500335247,2.7778059905295107,0.0,1.2320208010991047,1.6741715502595245,1.3648144445865609,1.434171320229352,1.3808605611345328,1.873061310767893,2.0336120971625897,0.8180698389613457
cell315_HeLa_,0.883274329331673,1.5258089402485409,3.084114868657818,1.2320208010991047,0.0,1.3485669278042791,1.599655898008248,1.7305643353029094,1.5365213492981444,1.741294821855331,1.6859132869260214,0.9663536240228746
cell602_K562_,1.543275228018361,2.666011514764296,3.76467031300124,1.6741715502595245,1.3485669278042791,0.0,1.5531814524408718,2.23801452606965,2.3550313739102964,2.4111931024587054,2.4182147716688203,1.405298180873781
cell617_GM12878_,1.8251657041945726,2.135635179876127,3.478725687330997,1.3648144445865609,1.599655898008248,1.5531814524408718,0.0,1.767069805536254,1.7334964225496203,2.6256833573974556,2.720920303833844,1.0834830288299764
cell603_GM12878_,1.9886654570597355,2.5268289258679513,3.1412838852660805,1.434171320229352,1.7305643353029094,2.23801452606965,1.767069805536254,0.0,1.8872011624543308,2.485737038970456,2.578447112605991,1.0206126423383275
cell535_K562_,1.64124483233504,2.144624368209037,3.456876638033531,1.3808605611345328,1.5365213492981444,2.3550313739102964,1.7334964225496203,1.8872011624543308,0.0,2.33462682711229,2.356720975141142,0.9031623008531615
cell562_GM12878_,1.949854358341817,2.228730704269087,3.6009238757528195,1.873061310767893,1.741294821855331,2.4111931024587054,2.6256833573974556,2.485737038970456,2.33462682711229,0.0,2.842200262644085,1.7087405732181133
cell200_HAP1_,2.472378035885373,2.2150019682251774,4.097637469221357,2.0336120971625897,1.6859132869260214,2.4182147716688203,2.720920303833844,2.578447112605991,2.356720975141142,2.842200262644085,0.0,2.1056123910469946
cell500_K562_,1.1350318498870808,1.605293294856956,2.6903885204943583,0.8180698389613457,0.9663536240228746,1.405298180873781,1.0834830288299764,1.0206126423383275,0.9031623008531615,1.7087405732181133,2.1056123910469946,0.0
