,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,13.084843111242593,15.285015406901328,12.226575265364403,6.561827845018684,11.568070733455162,12.964635109810374,12.660268235654947,10.512268596795963,11.607365262335748,11.70502967525583,7.99823221771765
cell79_HeLa_,13.084843111242593,0.0,19.05472937734431,14.093663020944945,13.009760836207915,16.6667827448205,13.571767616848508,16.735705332861023,13.911801046690254,14.248871192058722,15.99640517276557,11.1312200009877
cell496_HAP1_,15.285015406901328,19.05472937734431,0.0,16.171499628977866,12.633000210231831,13.975440111848016,17.48461996927547,16.028180228038583,15.632097048370703,13.677659348670549,14.153287612930667,14.608508573416529
cell469_HAP1_,12.226575265364403,14.093663020944945,16.171499628977866,0.0,10.283880931135975,12.96804374653004,10.832191808791833,14.97359257333321,10.423175584273675,13.191078630322426,14.60411245095091,7.620118669702408
cell315_HeLa_,6.561827845018684,13.009760836207915,12.633000210231831,10.283880931135975,0.0,9.881744270714307,11.930456070983496,12.30102224587408,9.9515075359588,10.070494274321597,10.0288647538619,7.511630852598243
cell602_K562_,11.568070733455162,16.6667827448205,13.975440111848016,12.96804374653004,9.881744270714307,0.0,13.060550148202527,14.393050167340327,12.334665255609556,12.145643513695209,12.1234894287487,9.703513102490078
cell617_GM12878_,12.964635109810374,13.571767616848508,17.48461996927547,10.832191808791833,11.930456070983496,13.060550148202527,0.0,13.429930387713066,10.93866981578661,14.87871334008325,15.778213024956479,7.586932781549949
cell603_GM12878_,12.660268235654947,16.735705332861023,16.028180228038583,14.97359257333321,12.30102224587408,14.393050167340327,13.429930387713066,0.0,13.61645567334698,14.43489964022605,15.234329948535304,10.14977019933714
cell535_K562_,10.512268596795963,13.911801046690254,15.632097048370703,10.423175584273675,9.9515075359588,12.334665255609556,10.93866981578661,13.61645567334698,0.0,12.223048344779375,13.189837529980167,6.8304639580228566
cell562_GM12878_,11.607365262335748,14.248871192058722,13.677659348670549,13.191078630322426,10.070494274321597,12.145643513695209,14.87871334008325,14.43489964022605,12.223048344779375,0.0,13.480047818845712,10.78644595087797
cell200_HAP1_,11.70502967525583,15.99640517276557,14.153287612930667,14.60411245095091,10.0288647538619,12.1234894287487,15.778213024956479,15.234329948535304,13.189837529980167,13.480047818845712,0.0,12.575785036581907
cell500_K562_,7.99823221771765,11.1312200009877,14.608508573416529,7.620118669702408,7.511630852598243,9.703513102490078,7.586932781549949,10.14977019933714,6.8304639580228566,10.78644595087797,12.575785036581907,0.0
