,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,0.3594867232980867,0.6479800975919946,0.1002126174854384,0.008256321825017988,0.05038481143953149,0.22161421325842254,0.2969234279217098,0.19268328065048068,0.056905196834068555,0.09781042616737673,0.12715804136244152
cell79_HeLa_,0.3594867232980867,0.0,0.5492331434678295,0.3802851647072105,0.3408047512068324,0.4213857015488305,0.24872168712353904,0.615016034487154,0.44356482569817546,0.42950549891876344,0.3479381102007394,0.4170622862301946
cell496_HAP1_,0.6479800975919946,0.5492331434678295,0.0,0.45734844971592453,0.7037389351539772,0.6253984197113734,0.37187176116890597,0.5571394625863328,0.6938213825385842,0.6513947029923387,0.8348095427664692,0.601479036488851
cell469_HAP1_,0.1002126174854384,0.3802851647072105,0.45734844971592453,0.0,0.12554138176968976,0.1500272175678857,0.16650028222806199,0.15052109073913672,0.14540680525153213,0.18466325629741326,0.2154765061427524,0.08651618294705112
cell315_HeLa_,0.008256321825017988,0.3408047512068324,0.7037389351539772,0.12554138176968976,0.0,0.07239230217566849,0.24138976022288297,0.34742331422588807,0.18744814580493582,0.0772224629711758,0.06894491100752714,0.135508559856004
cell602_K562_,0.05038481143953149,0.4213857015488305,0.6253984197113734,0.1500272175678857,0.07239230217566849,0.0,0.2283424688517417,0.2503688443642902,0.30083027932507655,0.006812195112849391,0.19823229649828827,0.1884037466044694
cell617_GM12878_,0.22161421325842254,0.24872168712353904,0.37187176116890597,0.16650028222806199,0.24138976022288297,0.2283424688517417,0.0,0.18428866212484085,0.20072935504993597,0.24608136598911806,0.32089446833712654,0.14294384685355443
cell603_GM12878_,0.2969234279217098,0.615016034487154,0.5571394625863328,0.15052109073913672,0.34742331422588807,0.2503688443642902,0.18428866212484085,0.0,0.2006396260196896,0.2815208274893513,0.5093521042787928,0.10502994467960454
cell535_K562_,0.19268328065048068,0.44356482569817546,0.6938213825385842,0.14540680525153213,0.18744814580493582,0.30083027932507655,0.20072935504993597,0.2006396260196896,0.0,0.30929679154783246,0.20257782709464311,0.03663281406368067
cell562_GM12878_,0.056905196834068555,0.42950549891876344,0.6513947029923387,0.18466325629741326,0.0772224629711758,0.006812195112849391,0.24608136598911806,0.2815208274893513,0.30929679154783246,0.0,0.1988602942019157,0.2042445982742263
cell200_HAP1_,0.09781042616737673,0.3479381102007394,0.8348095427664692,0.2154765061427524,0.06894491100752714,0.19823229649828827,0.32089446833712654,0.5093521042787928,0.20257782709464311,0.1988602942019157,0.0,0.22594020845971152
cell500_K562_,0.12715804136244152,0.4170622862301946,0.601479036488851,0.08651618294705112,0.135508559856004,0.1884037466044694,0.14294384685355443,0.10502994467960454,0.03663281406368067,0.2042445982742263,0.22594020845971152,0.0
