,1 Mb
10,2.3798824999994395
25,0.1379974169994966
50,0.1433919579994835
100,0.1535617079998701
250,0.207511790999888
500,0.5967486250001457
750,1.1792980410000382
1000,2.035672916000294
1500,4.267322792000414
2000,7.4645964999999705
2500,14.461164915999689
3000,22.00292987499961
