,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,18.119120097722096,19.862840716055977,17.29528619709668,9.417592892140174,15.180380768150343,17.607488044215774,16.58700757836575,14.506035171654705,15.538584224575,15.321013969963332,11.252294932648296
cell79_HeLa_,18.119120097722096,0.0,26.66733812026708,19.430215001830657,18.147357041761712,22.431297058301695,18.552144620431246,23.13910446443486,19.062976747390938,19.519376211753503,22.648966927497945,15.52676743942366
cell496_HAP1_,19.862840716055977,26.66733812026708,0.0,23.232863699936832,17.163584197177443,17.751157908138595,24.211389284302584,20.675423605165754,21.680814362849944,18.2159580841452,17.435227283531344,20.880068659057333
cell469_HAP1_,17.29528619709668,19.430215001830657,23.232863699936832,0.0,14.789239033770624,18.489171174961292,15.134572252969967,20.601122662555355,14.806372381015453,18.55303112430572,20.86943326322656,11.109181664779666
cell315_HeLa_,9.417592892140174,18.147357041761712,17.163584197177443,14.789239033770624,0.0,13.434200015987214,16.587258705940794,16.635655778248527,13.921758613610109,13.8579476181473,13.52723587252072,10.900011861372496
cell602_K562_,15.180380768150343,22.431297058301695,17.751157908138595,18.489171174961292,13.434200015987214,0.0,18.30244110523247,18.51858633358757,16.64694395384216,15.943073006506406,15.6717796333391,13.661507495031923
cell617_GM12878_,17.607488044215774,18.552144620431246,24.211389284302584,15.134572252969967,16.587258705940794,18.30244110523247,0.0,18.968857139070387,15.575031102393101,20.24682040700358,21.85780863833689,10.95545172940042
cell603_GM12878_,16.58700757836575,23.13910446443486,20.675423605165754,20.601122662555355,16.635655778248527,18.51858633358757,18.968857139070387,0.0,18.835666749276392,18.842897774968023,19.63929906282545,14.784637746619907
cell535_K562_,14.506035171654705,19.062976747390938,21.680814362849944,14.806372381015453,13.921758613610109,16.64694395384216,15.575031102393101,18.835666749276392,0.0,16.574436572635054,18.3012450123887,9.708097617109628
cell562_GM12878_,15.538584224575,19.519376211753503,18.2159580841452,18.55303112430572,13.8579476181473,15.943073006506406,20.24682040700358,18.842897774968023,16.574436572635054,0.0,17.955420182758175,14.908550986208326
cell200_HAP1_,15.321013969963332,22.648966927497945,17.435227283531344,20.86943326322656,13.52723587252072,15.6717796333391,21.85780863833689,19.63929906282545,18.3012450123887,17.955420182758175,0.0,17.698271598907024
cell500_K562_,11.252294932648296,15.52676743942366,20.880068659057333,11.109181664779666,10.900011861372496,13.661507495031923,10.95545172940042,14.784637746619907,9.708097617109628,14.908550986208326,17.698271598907024,0.0
