,file_name,total_mass
0,arc_pair_707432,22.329502122212492
1,arc_pair_261242,35.91977508298896
2,arc_pair_505368,118.36187271726622
3,arc_pair_735113,13.67999299795325
4,arc_pair_563444,9.499325814178526
5,arc_pair_673041,8.107747494936927
6,arc_pair_179627,21.68746249113427
7,arc_pair_314923,34.12173188653452
8,arc_pair_257720,11.309422957870385
9,arc_pair_682404,50.349524878413774
10,arc_pair_104747,17.39052210353845
11,arc_pair_592902,31.28005880876394
12,arc_pair_655466,14.613401503759395
13,arc_pair_46821,10.418914635066798
14,arc_pair_174150,31.592521474198957
15,arc_pair_481959,221.36529081595137
16,arc_pair_528553,5.615797799294244
17,arc_pair_259381,8.532246495614395
18,arc_pair_238368,41.48123978124824
19,arc_pair_221519,9.568941816753636
20,arc_pair_300126,129.10134980553647
21,arc_pair_432816,20.784533545452284
22,arc_pair_220021,19.28661327231121
23,arc_pair_725685,13.529359180650271
24,arc_pair_668031,28.810121932266128
25,arc_pair_420082,6.753632334791876
26,arc_pair_439759,12.96195020798721
27,arc_pair_629897,14.730137409294429
28,arc_pair_54236,39.533386730307136
29,arc_pair_293247,32.83229323577936
30,arc_pair_145174,12.488939047201063
31,arc_pair_275597,14.782755423697386
32,arc_pair_456604,64.04684797169874
33,arc_pair_163046,9.62228693747511
34,arc_pair_461127,12.087062125546503
35,arc_pair_714072,11.847440867020014
36,arc_pair_20032,9.476667658828589
37,arc_pair_619037,14.204647448694402
38,arc_pair_599837,14.502621739667427
39,arc_pair_255967,10.828425294482333
40,arc_pair_619467,12.06423929887617
41,arc_pair_184168,22.280966348707757
42,arc_pair_583169,13.628099365064655
43,arc_pair_640408,19.932839000126652
44,arc_pair_358867,17.357727879538647
45,arc_pair_726046,9.223499612684282
46,arc_pair_200478,9.49762476647985
47,arc_pair_409300,19.015636090774507
48,arc_pair_115785,10.710279314410085
49,arc_pair_48700,38.85429571774845
50,arc_pair_501452,16.030314529665034
51,arc_pair_515041,11.696749439325568
52,arc_pair_634749,19.46412771686863
53,arc_pair_574552,46.65565655759206
54,arc_pair_94968,12.208925449871465
55,arc_pair_360418,14.661745569463381
56,arc_pair_244225,9.781680859691809
57,arc_pair_564801,10.375657771495717
58,arc_pair_726945,19.051531383357045
59,arc_pair_271491,17.21015610538656
60,arc_pair_331769,46.0289923156941
61,arc_pair_722681,7.0568767928554275
62,arc_pair_692900,43.24086364898639
63,arc_pair_594182,52.98440974422043
64,arc_pair_555521,15.490809558059617
65,arc_pair_165653,8.225267449299944
66,arc_pair_361874,38.395625138796355
67,arc_pair_347045,11.78997022701898
68,arc_pair_198665,15.379687858033963
69,arc_pair_263228,36.506414959646236
70,arc_pair_287896,17.38432172609388
71,arc_pair_152936,7.812035020867354
72,arc_pair_414709,12.823774037790617
73,arc_pair_425957,9.865061207511292
74,arc_pair_521725,7.160872085873404
75,arc_pair_347100,20.287331776562404
76,arc_pair_295147,20.794574302494407
77,arc_pair_523348,13.02568873221047
78,arc_pair_470448,6.685552914717986
79,arc_pair_602440,13.65723780817683
80,arc_pair_692845,8.637489563039242
81,arc_pair_593702,21.47850168446297
82,arc_pair_188720,8.465650811402742
83,arc_pair_293093,42.58063293785606
84,arc_pair_593978,10.007481217872677
85,arc_pair_278258,18.78998661145188
86,arc_pair_461170,19.253943622233052
87,arc_pair_196944,16.655255942267903
88,arc_pair_595455,23.08201715415163
89,arc_pair_591,11.861931401320618
90,arc_pair_414420,39.85605664031827
91,arc_pair_683184,31.514953042783244
92,arc_pair_319079,18.40212592195595
93,arc_pair_662191,12.864784680391981
94,arc_pair_510701,11.570396696906704
95,arc_pair_6069,31.962306334016866
96,arc_pair_486818,13.783175093839699
97,arc_pair_543363,8.298054749946948
98,arc_pair_357229,12.805243898229019
99,arc_pair_309079,11.8042348124123
100,arc_pair_370859,28.38163792898987
101,arc_pair_285794,7.24744337905541
102,arc_pair_522220,28.12547228404327
103,arc_pair_125734,15.944979838948077
104,arc_pair_175983,9.716728298339078
105,arc_pair_212412,15.779052635456187
106,arc_pair_674550,34.01661174712097
107,arc_pair_427205,13.719863876688294
108,arc_pair_668089,24.905325009181052
109,arc_pair_152259,13.011969160768453
110,arc_pair_259913,9.793497836944615
111,arc_pair_689566,13.42985381452718
112,arc_pair_74792,6.749081001600138
113,arc_pair_46319,17.416669875868088
114,arc_pair_161493,13.516399145256672
115,arc_pair_34026,9.16400497146752
116,arc_pair_407349,24.823188704997186
117,arc_pair_422904,21.480744452397996
118,arc_pair_442305,12.433080080991214
119,arc_pair_5350,9.829090166236817
120,arc_pair_669698,41.89216110870507
121,arc_pair_677686,31.936116975525838
122,arc_pair_400176,14.345194977239736
123,arc_pair_304962,18.256843572120268
124,arc_pair_630032,11.646963169710574
125,arc_pair_408679,16.042321290905708
126,arc_pair_565928,17.42965036875171
127,arc_pair_557859,8.612099644128115
128,arc_pair_549847,33.19963432498815
