,cell_name,cell_type,total_mass
340,arc_pair_33919,CD4+ T cells,9.327301964988427
341,arc_pair_34026,CD4+ T cells,9.16400497146752
342,arc_pair_34030,T cells,17.471665400746346
343,arc_pair_34131,CD8+ T cells,10.105802637719735
344,arc_pair_34254,Monocytes,31.283851336665947
345,arc_pair_34403,B cells,34.05844276733163
346,arc_pair_34467,CD4+ T cells,21.28064606153631
347,arc_pair_34616,Monocytes,37.35302570049283
348,arc_pair_34679,CD4+ T cells,6.2702290734962105
349,arc_pair_34724,T cells,14.53223180955878
350,arc_pair_34793,CD4+ T cells,10.682506678417008
351,arc_pair_34920,CD4+ T cells,11.078645183689735
352,arc_pair_35003,NK cells,9.926573139716137
353,arc_pair_35006,Monocytes,12.47946403806354
354,arc_pair_35325,CD4+ T cells,10.715860144737988
355,arc_pair_35333,NK cells,11.99395172903746
356,arc_pair_35377,T cells,9.871034622519447
357,arc_pair_35379,Dendritic cells,28.80139049826187
358,arc_pair_35540,NK cells,11.8545316615138
359,arc_pair_35586,CD4+ T cells,36.70785497510557
360,arc_pair_35678,CD4+ T cells,13.481863568896358
361,arc_pair_35733,Monocytes,47.193901870369416
362,arc_pair_35734,CD4+ T cells,35.50321171634121
363,arc_pair_35788,T cells,13.82263774842318
364,arc_pair_35858,T cells,9.88319838714922
365,arc_pair_35983,Monocytes,47.35283540802213
366,arc_pair_36018,T cells,18.169597558649627
367,arc_pair_36192,Monocytes,40.89961565922798
368,arc_pair_36267,Dendritic cells,13.370963525543129
369,arc_pair_36279,NK cells,15.286544678074677
370,arc_pair_36393,T cells,8.863144276420979
371,arc_pair_36441,CD4+ T cells,6.00838883378206
372,arc_pair_36496,CD4+ T cells,5.359465501473428
373,arc_pair_36510,NK cells,14.91603966424564
374,arc_pair_36556,CD4+ T cells,30.431975200355655
375,arc_pair_36561,T cells,11.876921988074386
376,arc_pair_36745,CD4+ T cells,19.73341357003159
377,arc_pair_36818,B cells,11.252977338476374
378,arc_pair_36909,CD8+ T cells,25.96193295327194
379,arc_pair_37056,B cells,8.64905087319666
380,arc_pair_37299,Monocytes,32.016155326313545
381,arc_pair_37379,NK cells,13.132349728367732
382,arc_pair_37407,CD4+ T cells,9.729259646527758
383,arc_pair_37408,B cells,13.573564798899966
384,arc_pair_37421,CD4+ T cells,13.535012190568237
385,arc_pair_37476,CD4+ T cells,12.14202556759691
386,arc_pair_37493,Monocytes,21.874141179390563
387,arc_pair_37565,NK cells,105.31581576026636
388,arc_pair_37868,CD8+ T cells,32.260274912517446
389,arc_pair_37871,CD4+ T cells,18.045093786201967
390,arc_pair_37872,CD4+ T cells,311.1084887964257
391,arc_pair_38137,CD8+ T cells,9.776018000379878
392,arc_pair_38323,T cells,14.278939879802078
393,arc_pair_38384,B cells,13.728710373766036
394,arc_pair_38443,CD4+ T cells,15.042182714076445
395,arc_pair_38460,Monocytes,12.349350442759423
396,arc_pair_38475,NK cells,60.738864438748365
397,arc_pair_38492,Monocytes,65.22961784929137
398,arc_pair_38551,NK cells,8.668775203605598
399,arc_pair_38609,CD4+ T cells,14.079214561171453
400,arc_pair_38744,T cells,13.993157723929034
401,arc_pair_38778,Monocytes,66.67715554817552
402,arc_pair_38865,NK cells,13.417990181923187
403,arc_pair_39111,Monocytes,53.08533449889443
404,arc_pair_39365,CD4+ T cells,20.17578321748766
405,arc_pair_39389,CD4+ T cells,14.675434484747964
406,arc_pair_39397,CD4+ T cells,9.35229386236826
407,arc_pair_39421,Dendritic cells,48.27301792644613
408,arc_pair_39562,T cells,13.924049575268068
409,arc_pair_40260,T cells,9.414024890346967
410,arc_pair_40276,T cells,32.270307433997225
411,arc_pair_40352,CD4+ T cells,15.91218577038434
412,arc_pair_40412,T cells,17.453287878601405
413,arc_pair_40600,T cells,32.75917704137679
414,arc_pair_40666,NK cells,26.455818924386428
415,arc_pair_40706,CD4+ T cells,13.204455937935151
416,arc_pair_40754,CD4+ T cells,114.9410217412985
417,arc_pair_40828,Monocytes,46.367534394389
418,arc_pair_41028,T cells,17.89408637873754
419,arc_pair_41195,T cells,8.372966697074887
420,arc_pair_41207,T cells,14.810077684518482
421,arc_pair_41312,NK cells,21.552156254700716
422,arc_pair_41316,CD4+ T cells,11.099184593549104
423,arc_pair_41329,CD4+ T cells,19.22241717952075
424,arc_pair_41532,CD4+ T cells,16.330920080591
425,arc_pair_41579,CD4+ T cells,13.054603427660425
426,arc_pair_41681,Monocytes,47.75120154904741
