,arc_pair_48468,arc_pair_337111,arc_pair_542791,arc_pair_313438,arc_pair_624573,arc_pair_144158,arc_pair_720681,arc_pair_588558,arc_pair_450035,arc_pair_384979,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_149569
arc_pair_48468,0.0,0.19821587085843662,0.10719545212707812,0.13175132181508115,0.2216487017230446,0.07217629524212123,0.0822350459842642,0.08464841858148303,0.07541845058388401,0.08274735944081328,0.26654325037094867,0.3247358392107814,0.0961672913700215,0.15492764908638923,0.2818023758896929,0.12823862230714891,0.035454317544966446,0.07509128130494012
arc_pair_337111,0.19821587085843662,0.0,0.15930667248278751,0.17836396713976121,0.21688386603400697,0.29229992420571815,0.18555215846551107,0.15521062271379038,0.07802023162357086,0.23435844400739497,0.09460175122530654,0.2366041401004278,0.0815035365799581,0.2660911029190165,0.2726772949486924,0.13165197476555635,0.21504366684852938,0.2738400547704403
arc_pair_542791,0.10719545212707812,0.15930667248278751,0.0,0.016692235484275345,0.10091044382042388,0.10873238662193989,0.0844916413798564,0.07593656727703757,0.07781716953187506,0.03946426119915947,0.14462863347015392,0.20217333802989929,0.06782006893352101,0.11389805981736895,0.16969216210847074,0.11018223184627093,0.053604880229253346,0.08007868124688021
arc_pair_313438,0.13175132181508115,0.17836396713976121,0.016692235484275345,0.0,0.10518379091358333,0.11920752497424517,0.09363584107010131,0.11231967868307213,0.09484084672567836,0.04390415347887694,0.12370642818262205,0.19977469585572039,0.09349691696676318,0.11419340056717718,0.11443000104010029,0.09546960300262236,0.05762880887610999,0.08530678031212853
arc_pair_624573,0.2216487017230446,0.21688386603400697,0.10091044382042388,0.10518379091358333,0.0,0.12141786007987025,0.11459462543262414,0.15356544791643062,0.14519227514508126,0.06887077956687578,0.09489050407984287,0.14146045067267538,0.12111081636608453,0.04178166937644609,0.17959687907235541,0.08517002568758605,0.12920776664685205,0.11605355238096735
arc_pair_144158,0.07217629524212123,0.29229992420571815,0.10873238662193989,0.11920752497424517,0.12141786007987025,0.0,0.0828286645100662,0.10643671016805892,0.14584016975787178,0.03550356312046231,0.22416197661461898,0.24311182503193282,0.1309431058133132,0.04775687305423049,0.21199720199925365,0.09278292315218056,0.05190546651659596,0.020691444015029755
arc_pair_720681,0.0822350459842642,0.18555215846551107,0.0844916413798564,0.09363584107010131,0.11459462543262414,0.0828286645100662,0.0,0.0490702565409753,0.06991680296522494,0.06417901086608008,0.16584244343313628,0.20332169002295247,0.042158988823615066,0.05998642721002511,0.18076087102204497,0.0854065420983677,0.06822465796433666,0.11195050293153554
arc_pair_588558,0.08464841858148303,0.15521062271379038,0.07593656727703757,0.11231967868307213,0.15356544791643062,0.10643671016805892,0.0490702565409753,0.0,0.04457439155967771,0.10436784084208184,0.21224286756235897,0.2405111163626845,0.0572268662360838,0.10108115212805038,0.20731602786481312,0.1602256129495983,0.11122860077465953,0.14842994969163764
arc_pair_450035,0.07541845058388401,0.07802023162357086,0.07781716953187506,0.09484084672567836,0.14519227514508126,0.14584016975787178,0.06991680296522494,0.04457439155967771,0.0,0.10354991600269545,0.13467409325101254,0.22979515111950785,0.06569287472114516,0.14395710504882733,0.1742949113855297,0.11714052020726715,0.08652111264371037,0.1476166701076865
arc_pair_384979,0.08274735944081328,0.23435844400739497,0.03946426119915947,0.04390415347887694,0.06887077956687578,0.03550356312046231,0.06417901086608008,0.10436784084208184,0.10354991600269545,0.0,0.15110595080662897,0.19902240898595974,0.09990966012164562,0.053663345746579806,0.16852266539106514,0.0684991972777794,0.0191630548147031,0.0173954307479737
