,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK,GSE152918_MPP,GSE152918_CMP,GSE152918_ST,GSE152918_LT,GSE152918_CLP
GSE152918_G,0.0,0.6958562567332024,0.9634490808484661,0.7319469778024168,0.3116247401841412,1.6400915360028883,0.8732554801411565,1.3928621088369983,1.4141885096852174,1.4243343767533925
GSE152918_MEP,0.6958562567332024,0.0,0.7665909159262478,0.7046648110152871,0.8983486736002807,1.218042272273205,0.9996834462539923,1.0964467016281507,1.1202919413776855,1.1450746887737802
GSE152918_MKP,0.9634490808484661,0.7665909159262478,0.0,0.1248659220854767,0.4068501810672793,0.21124973508515676,0.07294351705423754,0.1130902737842917,0.10354074040535607,0.14385310753240288
GSE152918_GMP,0.7319469778024168,0.7046648110152871,0.1248659220854767,0.0,0.3256259284226847,0.26014144692652236,0.1290500663542102,0.18938446588396446,0.3050120608632779,0.26396307160674004
GSE152918_MK,0.3116247401841412,0.8983486736002807,0.4068501810672793,0.3256259284226847,0.0,0.8531599684099767,0.270762407680061,0.6606116925957413,0.6533551613273247,0.7170513038095183
GSE152918_MPP,1.6400915360028883,1.218042272273205,0.21124973508515676,0.26014144692652236,0.8531599684099767,0.0,0.2823828568674545,0.04835230377673547,0.16897427182933644,0.12814978658647153
GSE152918_CMP,0.8732554801411565,0.9996834462539923,0.07294351705423754,0.1290500663542102,0.270762407680061,0.2823828568674545,0.0,0.16520225143057224,0.16978937018229526,0.20040242102314798
GSE152918_ST,1.3928621088369983,1.0964467016281507,0.1130902737842917,0.18938446588396446,0.6606116925957413,0.04835230377673547,0.16520225143057224,0.0,0.08902969251677895,0.11119478459059143
GSE152918_LT,1.4141885096852174,1.1202919413776855,0.10354074040535607,0.3050120608632779,0.6533551613273247,0.16897427182933644,0.16978937018229526,0.08902969251677895,0.0,0.12867320246040875
GSE152918_CLP,1.4243343767533925,1.1450746887737802,0.14385310753240288,0.26396307160674004,0.7170513038095183,0.12814978658647153,0.20040242102314798,0.11119478459059143,0.12867320246040875,0.0
