,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK,GSE152918_MPP,GSE152918_CMP,GSE152918_ST,GSE152918_LT,GSE152918_CLP
GSE152918_G,0.0,3.7610350666641468,3.449332110198069,3.1417746295703957,1.0336873133554134,6.186255860144892,3.08689910545641,5.229873948907722,5.027223173695717,5.995187262189287
GSE152918_MEP,3.7610350666641468,0.0,1.862998126358611,1.6638815070029942,3.913857887362428,2.887349577268501,2.545803677623351,2.568090417232627,2.7124977109136514,2.502523064697294
GSE152918_MKP,3.449332110198069,1.862998126358611,0.0,0.6671717269596614,2.3456042121443126,1.3768768767829644,0.5497269952287402,0.8080125013100268,0.9084181422163077,1.2177831118858715
GSE152918_GMP,3.1417746295703957,1.6638815070029942,0.6671717269596614,0.0,2.375483856974313,1.320746839144574,0.7886868395704699,1.019435068374506,1.4784116853385623,1.334536250987001
GSE152918_MK,1.0336873133554134,3.913857887362428,2.3456042121443126,2.375483856974313,0.0,4.734836991134502,1.986643126973518,3.812714245496796,3.6436344976893436,4.763834019528417
GSE152918_MPP,6.186255860144892,2.887349577268501,1.3768768767829644,1.320746839144574,4.734836991134502,0.0,1.6813289627181398,0.5627188780056293,1.1570279813052926,0.6808413412627797
GSE152918_CMP,3.08689910545641,2.545803677623351,0.5497269952287402,0.7886868395704699,1.986643126973518,1.6813289627181398,0.0,1.0968408024368144,1.2583635673906435,1.6646013812311398
GSE152918_ST,5.229873948907722,2.568090417232627,0.8080125013100268,1.019435068374506,3.812714245496796,0.5627188780056293,1.0968408024368144,0.0,0.7021016798688677,0.6586992726561138
GSE152918_LT,5.027223173695717,2.7124977109136514,0.9084181422163077,1.4784116853385623,3.6436344976893436,1.1570279813052926,1.2583635673906435,0.7021016798688677,0.0,1.0649140110114201
GSE152918_CLP,5.995187262189287,2.502523064697294,1.2177831118858715,1.334536250987001,4.763834019528417,0.6808413412627797,1.6646013812311398,0.6586992726561138,1.0649140110114201,0.0
