,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK
GSE152918_G,0.0,0.19427822755254742,0.5461544410819372,0.7221384291971304,0.29069569576500265
GSE152918_MEP,0.19427822755254742,0.0,0.5949425835152569,0.8587589562845213,0.4790849423757919
GSE152918_MKP,0.5461544410819372,0.5949425835152569,0.0,0.3604626286314826,0.433106551090484
GSE152918_GMP,0.7221384291971304,0.8587589562845213,0.3604626286314826,0.0,0.4291201374153524
GSE152918_MK,0.29069569576500265,0.4790849423757919,0.433106551090484,0.4291201374153524,0.0
