,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK
GSE152918_G,0.0,8.071588292635251,6.589137493528678,6.288204500631741,5.573193626105425
GSE152918_MEP,8.071588292635251,0.0,4.546514725207963,5.553983076259017,7.6857177893055955
GSE152918_MKP,6.589137493528678,4.546514725207963,0.0,2.61349813822038,4.715462321839219
GSE152918_GMP,6.288204500631741,5.553983076259017,2.61349813822038,0.0,4.541219486924881
GSE152918_MK,5.573193626105425,7.6857177893055955,4.715462321839219,4.541219486924881,0.0
