,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK,GSE152918_MPP,GSE152918_CMP,GSE152918_ST,GSE152918_LT,GSE152918_CLP
GSE152918_G,0.0,4.0683909051440725,13.248753755885469,11.40949997281067,5.017326736532186,34.58993891639267,15.971438914296009,26.468203514574256,30.6729977009032,24.146019332672203
GSE152918_MEP,4.0683909051440725,0.0,20.74975008546036,18.399752958894123,12.3423514862336,47.189551637925824,25.22281560750185,37.48022416964795,42.37309512965275,34.79571715455131
GSE152918_MKP,13.248753755885469,20.74975008546036,0.0,2.874834121168603,3.5355852973008313,8.480279314314476,0.9980131329426296,4.080782480122654,5.648139836931947,4.732016036922248
GSE152918_GMP,11.40949997281067,18.399752958894123,2.874834121168603,0.0,2.880063183093784,8.473767145297249,2.433054133796617,5.398886804703734,11.346562905789696,10.055973555636472
GSE152918_MK,5.017326736532186,12.3423514862336,3.5355852973008313,2.880063183093784,0.0,15.536656161635024,4.346579336232606,10.23953663473221,13.987169833182335,11.13857325664606
GSE152918_MPP,34.58993891639267,47.189551637925824,8.480279314314476,8.473767145297249,15.536656161635024,0.0,5.644446876506127,1.5847565405092103,5.685497888162989,8.071142736135021
GSE152918_CMP,15.971438914296009,25.22281560750185,0.9980131329426296,2.433054133796617,4.346579336232606,5.644446876506127,0.0,2.4224971487329805,4.876908738003458,5.045219789074653
GSE152918_ST,26.468203514574256,37.48022416964795,4.080782480122654,5.398886804703734,10.23953663473221,1.5847565405092103,2.4224971487329805,0.0,3.326510345934967,5.130910317951845
GSE152918_LT,30.6729977009032,42.37309512965275,5.648139836931947,11.346562905789696,13.987169833182335,5.685497888162989,4.876908738003458,3.326510345934967,0.0,2.644744444659779
GSE152918_CLP,24.146019332672203,34.79571715455131,4.732016036922248,10.055973555636472,11.13857325664606,8.071142736135021,5.045219789074653,5.130910317951845,2.644744444659779,0.0
