,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK,GSE152918_MPP,GSE152918_CMP,GSE152918_ST,GSE152918_LT,GSE152918_CLP
GSE152918_G,0.0,3.9225401698982316,21.44359904513328,14.412256538741849,10.176510755343894,42.93304939598143,24.354855738158733,34.089448997090095,41.03570164782895,32.235823773709164
GSE152918_MEP,3.9225401698982316,0.0,29.854688005604565,21.812243793710476,18.234783065309777,55.900061132414045,34.56476166407031,45.4020341980338,53.25071359880079,42.76925190400704
GSE152918_MKP,21.44359904513328,29.854688005604565,0.0,3.7008214489106344,3.542747744239342,6.88009691295663,0.8035480271029923,3.1162346939180825,4.400559209394336,2.635857114514377
GSE152918_GMP,14.412256538741849,21.812243793710476,3.7008214489106344,0.0,2.4587351002555806,9.297197773661154,3.6216982342501205,5.991287682533515,12.581519795653517,9.67399260108082
GSE152918_MK,10.176510755343894,18.234783065309777,3.542747744239342,2.4587351002555806,0.0,13.643888608664144,4.232936920358238,8.800482462429864,12.756028406669238,8.911357629321232
GSE152918_MPP,42.93304939598143,55.900061132414045,6.88009691295663,9.297197773661154,13.643888608664144,0.0,4.482517855774122,1.3835504550803084,5.095939426810075,6.7735832018470035
GSE152918_CMP,24.354855738158733,34.56476166407031,0.8035480271029923,3.6216982342501205,4.232936920358238,4.482517855774122,0.0,1.7195912553388353,3.616507334679804,2.917080590893922
GSE152918_ST,34.089448997090095,45.4020341980338,3.1162346939180825,5.991287682533515,8.800482462429864,1.3835504550803084,1.7195912553388353,0.0,3.204858386141069,4.117656346594012
GSE152918_LT,41.03570164782895,53.25071359880079,4.400559209394336,12.581519795653517,12.756028406669238,5.095939426810075,3.616507334679804,3.204858386141069,0.0,2.240473754881819
GSE152918_CLP,32.235823773709164,42.76925190400704,2.635857114514377,9.67399260108082,8.911357629321232,6.7735832018470035,2.917080590893922,4.117656346594012,2.240473754881819,0.0
