,arc_pair_48468,arc_pair_337111,arc_pair_447717,arc_pair_542791,arc_pair_307953,arc_pair_313438,arc_pair_197122,arc_pair_283483,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_708260,arc_pair_247784,arc_pair_664080,arc_pair_257072,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_599471,arc_pair_718797,arc_pair_450035,arc_pair_384979,arc_pair_295568,arc_pair_82729,arc_pair_632661,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_176092,arc_pair_551110,arc_pair_460240,arc_pair_594335,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_674772,arc_pair_280409,arc_pair_297765,arc_pair_149569,arc_pair_27275,arc_pair_723396
arc_pair_522221,51.615722024008384,4.929437524546389,52.220519894807914,28.58108016361717,25.519277167576433,57.36179881473717,20.838014493761584,15.009192198330663,0.0,38.0000863252984,26.68437031538522,25.088784041706255,17.134954633149693,23.475934974192732,15.876072648055414,39.21952530345684,73.96778858672344,46.913168518767705,3.625602449968474,38.75017815983572,29.964834086913854,42.276654644976155,43.232112388250485,44.17387479779257,25.215627886666102,31.038330104955577,54.360132222513144,94.26970771111233,44.02139552221452,13.153057064860038,9.901506857931913,13.706489447688726,20.754186087728513,5.898047485176179,68.22977810571014,17.80685065585982,69.68847288345621,11.969968433304063,56.50081949884418,55.59779464994212,61.612976533385385,128.1650095232363,55.20317259956365,21.79942845722233,16.9151537908354
arc_pair_624573,14.957520492955295,31.140577541140352,14.782596526615384,5.100094695835879,5.398857140464747,15.668325012594762,62.56332285561859,14.168491476058204,38.00008632529836,0.0,7.280536418580524,4.827192333464431,21.26733792286576,10.157087467395026,56.15303603342324,5.829809392571642,30.549450205094356,8.533337600220142,35.7248277043114,5.015731315248793,4.1999091595681035,11.943405012452715,6.760199628792332,7.108537744631632,14.95999097909397,6.6825047034133105,13.421465053817496,40.0380049863495,11.662779945617496,23.11732685114424,51.20314685096129,24.00050792459738,12.24099516603834,30.85505277633647,24.643203110118357,15.059376072162244,17.66613057917803,25.25750542649692,16.18446655473858,15.345737818815065,27.0833365311129,72.04512852521987,11.996232647127764,27.56874936197515,14.510758057788788
arc_pair_247784,40.880651027394954,10.31810608736484,41.097061189588544,19.321929586072912,11.854369389315815,43.396023840177136,47.30747134013753,11.93024171597771,17.134954633149707,21.26733792286575,16.336492226051565,10.476963965315136,0.0,15.249476903308945,17.88203131833739,16.006073822422803,63.2517440247817,34.19417581962469,19.10271492604173,25.641526533123745,20.2429951034992,32.405898028344815,30.211152654630627,30.92719458229375,15.32430038834728,22.91984562248282,42.311336387471925,77.68952090736391,34.51231046307289,4.115431510198434,27.874003715509737,15.836624355937655,5.02747211473081,14.495714181787784,56.600895095841736,6.1439147174584665,49.87107660813035,18.262435843919203,43.384458590463936,42.983448839644836,51.55924000950683,118.73453797851913,38.33663230499416,5.303109831127687,3.2931969054336476
arc_pair_176092,55.56478229643589,14.55553424725397,56.11318358805436,35.447732494321066,39.865269770696834,65.6243181292614,10.0933520663545,21.80349099202693,9.901506857931903,51.20314685096122,32.761146213419686,39.20273953119182,27.87400371550972,29.533336543906184,21.936604543156083,55.08098636017088,79.36215975905257,52.84956760905507,8.307666917367948,48.952200153221234,42.743902498390206,47.666718469347316,52.13552083151811,53.92443063561086,30.519166272720586,35.69482908791968,62.30759434034044,101.67504919559968,55.42781300147881,24.5419772555667,0.0,15.171515953201471,33.62061734307845,13.267509443473735,79.43611773938774,27.99603201442681,84.20578010747921,12.372129185568422,64.11962972883033,62.29503863325157,73.61382859541678,141.65506344264367,68.47243121781074,35.11238603410999,28.38237478032102
arc_pair_703887,13.143266931205918,63.81857699039107,12.90869101311937,19.748668227541675,24.88366000456747,4.746881074765327,88.97540014401626,35.47793850636512,69.68847288345627,17.66613057917806,27.64061506540659,24.433684088800497,49.87107660813024,30.988380590873234,93.01564474390874,23.916305704906613,11.064635216142998,12.105688294419028,64.56317971433695,10.895581727072102,14.862164738924307,12.067812590598422,9.394467722454449,8.953645172968342,39.66300328429934,18.500273861930218,8.900151535749286,14.96962898667819,8.562924974464591,51.681960755078414,84.20578010747937,50.32195222289116,35.88942111788629,61.93638400676768,10.385057904738769,41.58069917426895,0.0,49.627883361984395,4.877642930599254,6.5358193886758755,13.152008107457519,42.65726897790197,5.548082518682131,56.45353170662711,40.133494435901554
