,arc_pair_48468,arc_pair_337111,arc_pair_447717,arc_pair_542791,arc_pair_307953,arc_pair_313438,arc_pair_197122,arc_pair_283483,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_708260,arc_pair_247784,arc_pair_664080,arc_pair_257072,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_599471,arc_pair_718797,arc_pair_450035,arc_pair_384979,arc_pair_295568,arc_pair_82729,arc_pair_632661,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_176092,arc_pair_551110,arc_pair_460240,arc_pair_594335,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_674772,arc_pair_280409,arc_pair_297765,arc_pair_149569,arc_pair_27275,arc_pair_723396
arc_pair_257072,101.76579228573283,22.616905284979005,105.82383008192895,64.94594057810822,20.479838098257826,115.29752744819704,36.24528574416952,40.93750685963209,16.893918952199897,53.87760883500386,48.53142231377216,24.15743095554178,7.16254498271032,55.02585270381062,0.0,11.234555930854567,110.2724455228334,74.25401526616234,26.031410815936535,86.08398347951784,41.88142289494846,91.99397573629159,88.00123134290433,59.473224387218195,96.22829416653208,79.98198718996429,92.81260090717565,180.69588296629868,66.03754085974388,19.198666646081154,26.034135078701414,51.69311936189549,31.672651029141885,24.54711168717811,125.04571734342521,50.98608960742624,79.69693904524435,46.25150680570118,106.37344014651615,96.62209569696702,90.86989309370169,229.67700742881183,77.74161941289465,11.284452752313257,15.139279363018876
arc_pair_594335,63.35534370179231,14.569304863136459,67.31722723649284,33.07180554277584,14.444287295509834,74.0886402592132,8.516837412057264,13.567114717824818,11.05693121083593,31.153605730388534,22.448461885965333,16.264841311679945,14.801497468871792,26.4193553441521,24.547111687178095,19.910729294001438,70.74953783898914,42.191595921083604,5.670425310777771,51.9075519945776,23.585994073716538,55.24693499764829,54.31427883985567,31.489010284432954,61.365287025743996,44.82267133784548,53.3942446378245,123.5839307705092,36.23694737864198,18.40814818922641,8.500470787768492,22.887829662453555,23.81164795163576,0.0,74.45835742205502,35.27834432633238,50.216444776760206,16.177001880136974,67.41902003907475,59.058173928087946,54.498661531034436,147.96238252827345,48.29216482227077,21.548892327674007,16.103051080653636
arc_pair_641885,15.846263562012515,69.5592267845126,15.386421931214404,27.586517233457627,71.74128940142998,9.767770551994417,69.03379934967757,48.37263089077906,94.77831226670246,40.30200145006178,43.58807972749706,65.06538990656368,102.6207585529105,42.85926153663848,125.04571734342528,94.40765451219622,15.21764706622913,26.234576635200746,67.42407396694949,17.60225650070475,42.21753096155365,12.603355775819177,17.112793955928524,33.323463639011536,23.912501103244466,17.407126885229786,13.294071386364621,16.172654171537467,26.113133925361,75.49874758775903,86.71134285005611,38.36226151450671,59.321630221673416,74.45835742205482,0.0,41.240713833719596,23.508568417220385,45.344899549377274,10.192255880210531,13.438970964931364,12.132533363184612,27.667227007900507,21.596209735147188,92.59320117827876,78.52204246472223
arc_pair_280409,10.701088202912024,47.047117987197204,10.32396688096325,16.741903545207474,48.7948201925641,6.027242935643275,54.62605267821398,31.3037089161947,71.64716354959332,25.07701446579067,29.7650140569841,42.52590484159539,73.70840230803506,29.049660646400735,90.86989309370142,66.93771396724182,10.410305070601444,15.706200662007653,47.79435494588015,8.428771636198904,23.907935542703868,6.1792243126074595,8.410838253432273,18.622533974821,15.092124905045196,10.860479064398657,11.446215332035095,28.686217104927188,12.700529846127624,51.53971743302023,67.90098034666306,27.916923038899288,37.911845962144234,54.498661531034415,12.132533363184608,23.32405893970019,12.789023026514407,33.5630113006771,6.22530579525291,7.910135556470794,0.0,47.05342957703755,10.679917784394858,65.8547453201169,52.76435115856604
arc_pair_149569,12.214582783516212,36.95299433522171,13.291970085394095,10.400694003621306,39.03674987081169,14.319387158616497,50.23951249975523,25.116934470122008,63.11079902351845,15.366240819532036,20.844892412051145,33.97131629293583,63.83029459451703,19.584073851982385,77.74161941289472,54.351380624354256,12.408489641880033,8.69121991042597,39.204360257982074,3.778301201909334,16.943270176391028,9.73482348884912,3.3630101378544377,10.76224070150822,6.649441011509234,7.720441998141662,8.33743761787292,47.434390898374495,6.081953019707355,43.03698582597209,60.264584833659306,20.72778300625444,27.773682331029608,48.292164822270756,21.596209735147205,14.237352909918076,4.68212065971105,26.86726739422418,10.59978597628323,7.457576106714137,10.679917784394847,69.57976437104084,0.0,53.30149681649708,42.548233163449396
