,arc_pair_48468,arc_pair_337111,arc_pair_447717,arc_pair_542791,arc_pair_307953,arc_pair_313438,arc_pair_197122,arc_pair_283483,arc_pair_522221,arc_pair_624573,arc_pair_144158,arc_pair_708260,arc_pair_247784,arc_pair_664080,arc_pair_257072,arc_pair_67750,arc_pair_720681,arc_pair_347280,arc_pair_588558,arc_pair_594469,arc_pair_599471,arc_pair_718797,arc_pair_450035,arc_pair_384979,arc_pair_295568,arc_pair_82729,arc_pair_632661,arc_pair_131562,arc_pair_119264,arc_pair_16513,arc_pair_176092,arc_pair_551110,arc_pair_460240,arc_pair_594335,arc_pair_641885,arc_pair_292663,arc_pair_703887,arc_pair_22407,arc_pair_89302,arc_pair_674772,arc_pair_280409,arc_pair_297765,arc_pair_149569,arc_pair_27275,arc_pair_723396
arc_pair_447717,2.202742840067296,44.7325343269184,0.0,17.381256700775246,71.55706161610287,2.5333799448614442,37.792737442745896,33.21920476005951,96.52972006085442,21.25277262089227,23.288248366499865,60.50245063395669,88.66869416574137,20.686915178403563,77.3960438951226,94.53593403495914,7.305810857915883,12.611128477693365,44.158827605342935,6.732718435044163,40.95097973042271,5.048911944706604,9.139257862233931,20.081290289135048,12.440252449122887,5.170688569351101,6.3930205818475825,21.43058084873333,18.70609529140903,65.65659848682577,66.33380117348041,16.51222901121374,37.10851125267273,62.72955154459122,19.217864429914837,22.86585882842111,22.6846235587232,20.647185615119145,5.267725205020079,5.775321507254827,11.588539780736399,22.481325700475438,17.95997364179837,71.94688453023542,75.46163658546101
arc_pair_313438,1.9172939406066876,44.60150806204832,2.5333799448614474,16.930211252119094,71.69348508072422,0.0,39.52826475357486,34.63997599168002,94.9566681717027,21.353502697371553,23.582995858978478,61.15997901231551,87.68217043896794,22.38989055345128,79.0764229565892,94.42873318889842,7.332291286692452,13.911174351484878,45.18708911109253,5.463400733280476,40.084073021711866,3.175186417559098,7.385580657899614,21.121263754503403,10.775892902317194,4.652798455236954,5.713789429363769,20.8839314961733,17.143076538740907,64.35933744863829,65.37524900666124,16.166419077441407,37.449711449743326,62.38661592932984,16.421732762819175,20.981747950254768,21.624066501651946,20.923932846503373,3.0820465651355615,4.1343578098233795,9.10452687695932,21.46581650453755,16.340444514087896,72.65259344865623,74.41477602059815
arc_pair_283483,32.25353405912052,10.674793471942259,33.21920476005953,9.013544146496981,19.42889523269008,34.639975991680025,4.97590780467178,0.0,35.39116706826595,17.78860738757031,11.7786538570261,13.813800144683658,30.072192532229213,10.333587461946731,24.971309089625507,31.60131604916124,33.498086922026246,17.762997819907962,5.882600502871618,23.852026698508983,12.801092990314729,25.54715933360139,27.184972098967247,10.280351043780117,38.4451345730255,20.088615429416393,24.826918087502538,79.79046890756611,15.28577369407844,19.025828214967124,20.00424647717828,11.385555684810951,10.679198244741642,15.3833410017888,54.12344963282361,27.04622232416412,13.407064688884411,8.615274344341264,32.078241968512366,24.395117627289313,19.611728384657717,82.5396249712096,22.96745052696806,21.648780403162718,23.56103222221566
arc_pair_720681,7.5295174653128845,40.883617272648976,7.305810857915896,15.673232785954342,69.15002375104162,7.332291286692459,39.080223365153614,33.498086922026275,95.76364078356805,17.04539464342186,21.625648013504488,57.837995843567846,87.94730753545733,18.037371729568044,73.42792485958088,88.90002670163264,0.0,9.568473526318282,44.37813649770319,4.756284705536943,37.77947157628756,8.759462087407265,5.095611665793142,17.512990219914066,7.9596542226876705,7.9287701480509885,5.4665145698989015,29.40854498649142,15.987745097690123,66.48160992348872,68.18507360331331,15.249313855234163,33.97144400822509,63.87706166306249,23.779334564029536,15.358063472425583,17.95613722550277,20.332299683657972,5.021222437384236,7.1041581157942035,12.813316769948182,30.00405701938112,10.037519870435839,68.5110952787605,73.13672589112564
arc_pair_632661,6.133278255351412,32.58789354642493,6.393020581847586,10.3376261763581,57.125512528813736,5.713789429363763,27.548568174613667,24.826918087502523,78.05064544384632,12.881810058977573,13.878830992709132,48.409787855772386,73.84500099104062,13.108006664355475,63.39121494902327,77.45004627807877,5.466514569898907,6.7636541796076255,32.296786406637075,3.280870268137474,28.467613627221215,4.946035273999287,4.169664634836866,12.879919050800389,11.44771492656955,3.5420826467713944,0.0,30.72978354488098,11.662333173040524,53.1441427255093,51.393990844484485,8.707672716985254,27.00319434630316,48.91266686996257,16.750593969272533,14.515007087960916,13.658192899558923,12.18699683016894,3.641155543012194,3.9297305260099513,7.31096522097369,31.240353769785855,8.299265991516888,57.231867768216354,59.91634967484948
