,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,-5.091550816203336e-05,-5.091550816203334e-05,-5.091550816203336e-05,-5.091550816203338e-05,-5.0915508162033424e-05,-5.091550816203333e-05,-5.09155081620334e-05,-5.091550816203336e-05,-5.091550816203343e-05,-5.0915508162033445e-05
MEP,-5.0082240382799175e-05,-5.00822403827992e-05,-5.0082240382799114e-05,-5.008224038279917e-05,-5.008224038279921e-05,-5.0082240382799264e-05,-5.0082240382799114e-05,-5.008224038279922e-05,-5.008224038279914e-05,-5.008224038279918e-05
MKP,-5.290380174496124e-05,-5.2903801744961224e-05,-5.290380174496116e-05,-5.2903801744961157e-05,-5.2903801744961157e-05,-5.290380174496115e-05,-5.290380174496116e-05,-5.290380174496115e-05,-5.2903801744961184e-05,-5.290380174496115e-05
GMP,-5.250595636090726e-05,-5.2505956360907154e-05,-5.250595636090727e-05,-5.2505956360907296e-05,-5.250595636090733e-05,-5.250595636090724e-05,-5.2505956360907296e-05,-5.2505956360907296e-05,-5.25059563609073e-05,-5.250595636090729e-05
MK,-5.23523550006565e-05,-5.2352355000656485e-05,-5.2352355000656526e-05,-5.235235500065651e-05,-5.235235500065651e-05,-5.235235500065652e-05,-5.235235500065649e-05,-5.235235500065647e-05,-5.235235500065651e-05,-5.235235500065651e-05
MPP,-5.3266549985854454e-05,-5.326654998585466e-05,-5.326654998585449e-05,-5.326654998585454e-05,-5.326654998585453e-05,-5.326654998585453e-05,-5.326654998585453e-05,-5.326654998585455e-05,-5.326654998585455e-05,-5.326654998585453e-05
CMP,-5.3069004252647255e-05,-5.306900425264724e-05,-5.3069004252647296e-05,-5.30690042526473e-05,-5.3069004252647276e-05,-5.3069004252647276e-05,-5.30690042526473e-05,-5.3069004252647276e-05,-5.3069004252647296e-05,-5.30690042526473e-05
ST,-5.303605276985515e-05,-5.303605276985522e-05,-5.303605276985517e-05,-5.303605276985514e-05,-5.303605276985519e-05,-5.303605276985517e-05,-5.303605276985517e-05,-5.303605276985516e-05,-5.303605276985519e-05,-5.3036052769855195e-05
LT,-5.331608775293372e-05,-5.331608775293376e-05,-5.331608775293374e-05,-5.331608775293383e-05,-5.3316087752933794e-05,-5.331608775293379e-05,-5.331608775293377e-05,-5.331608775293374e-05,-5.3316087752933774e-05,-5.3316087752933774e-05
CLP,-5.3202663734550296e-05,-5.320266373455024e-05,-5.3202663734550255e-05,-5.320266373455024e-05,-5.320266373455028e-05,-5.320266373455022e-05,-5.320266373455025e-05,-5.320266373455024e-05,-5.320266373455023e-05,-5.3202663734550255e-05
