,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,0.0,15.108925557710595,40.96333638252015,36.83243025095118,13.340876527447527,111.23774192546846,49.72527763680153,85.57135770335867,92.67454765042208,67.82242796063977
MEP,15.108925557710666,0.0,56.35878467539965,56.415805848399174,34.62263812686096,147.73263372836468,74.73769029095804,117.19251650198478,124.09990607257926,91.43477858691122
MKP,40.963336382520694,56.3587846753997,0.0,10.78994872294506,16.188840726938327,35.698676109584376,4.007812009342254,18.62883567088751,20.84184310362023,16.938172222521217
GMP,36.83243025095102,56.41580584839992,10.789948722945057,0.0,10.420132560470549,27.862828388083354,8.700986211810557,18.292291876525184,37.97814554693859,33.49300198035778
MK,13.340876527447502,34.62263812686075,16.18884072693838,10.420132560470575,0.0,57.84089845262627,18.36140219083675,40.218073237427,52.30694512128352,42.856926278328174
MPP,111.23774192546881,147.73263372836632,35.69867610958435,27.86282838808332,57.840898452626234,0.0,21.45142603570851,5.208896237407015,25.965553166369318,39.67374862974762
CMP,49.72527763680168,74.73769029095814,4.007812009342268,8.700986211810582,18.361402190836845,21.451426035708717,0.0,8.932650432053643,14.796609414993302,17.017212168778123
ST,85.57135770335866,117.19251650198443,18.628835670887725,18.292291876524995,40.21807323742683,5.208896237406927,8.932650432053542,0.0,13.961938962679948,26.0433617481743
LT,92.67454765042201,124.09990607257923,20.841843103620374,37.978145546938606,52.30694512128345,25.965553166369272,14.796609414993359,13.961938962680152,0.0,14.334623238921626
CLP,67.82242796063922,91.43477858691021,16.938172222521246,33.49300198035801,42.85692627832832,39.67374862974774,17.01721216877814,26.04336174817454,14.334623238921582,0.0
