,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,1.3276678441988728e-15,0.09804227078483169,0.2917441481509907,0.19279530036017725,0.12306148531078236,0.4834090738241913,0.3093333762839532,0.4265263760276895,0.4917575951084181,0.43998241015169554
MEP,0.09804227078483185,1.183330569708854e-15,0.3518685019507808,0.2646468899431277,0.2608553366191386,0.5271402796336584,0.4136948543904264,0.49143319454007395,0.5563482824923055,0.5028077803595464
MKP,0.2917441481509907,0.3518685019507807,1.2827344973906128e-15,0.04293593071944509,0.08397832891546711,0.06051578752541596,0.012100578668087144,0.033040945281940196,0.04494133252603259,0.04073616444955501
GMP,0.19279530036017734,0.2646468899431277,0.04293593071944511,1.2899527822922723e-15,0.06779304450526001,0.08838380864029546,0.04753088636999855,0.07254342449030161,0.13753228426041125,0.10350690356858869
MK,0.12306148531078243,0.2608553366191389,0.08397832891546708,0.06779304450526011,1.3797506737065756e-15,0.2007493942815031,0.07188005135715228,0.15135276419221932,0.17776437643490173,0.17129584472966997
MPP,0.48340907382419146,0.5271402796336584,0.06051578752541589,0.08838380864029549,0.20074939428150318,1.2502689717658155e-15,0.05988366211924025,0.01440519830900698,0.06079300430418076,0.0441904800691267
CMP,0.3093333762839532,0.41369485439042664,0.0121005786680871,0.04753088636999864,0.07188005135715224,0.0598836621192402,1.3399561777487228e-15,0.030585285133817006,0.045724182992412175,0.04632958070892078
ST,0.4265263760276894,0.49143319454007384,0.03304094528194017,0.07254342449030163,0.15135276419221919,0.014405198309006956,0.030585285133817027,1.234916814713771e-15,0.03362088929084114,0.03757525136972757
LT,0.4917575951084181,0.5563482824923053,0.04494133252603255,0.13753228426041134,0.17776437643490173,0.06079300430418086,0.04572418299241211,0.03362088929084116,1.4442174733216397e-15,0.037905199636156406
CLP,0.4399824101516955,0.5028077803595463,0.040736164449554996,0.10350690356858873,0.17129584472966985,0.04419048006912677,0.04632958070892083,0.037575251369727544,0.03790519963615645,1.2985338079084287e-15
