,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,0.0,0.3680452016109758,2.091203513830178,1.486654274521329,0.887033520164964,3.657692470155235,2.2457546019811874,3.0587068019141914,3.5210623569119353,2.9552409150095005
MEP,0.36804520161097604,0.0,2.5181336339229117,1.7905600201079763,1.2202670744156991,4.216932278468801,2.713585987284254,3.5498255787958852,4.10010725339519,3.5588278726502804
MKP,2.091203513830173,2.518133633922908,0.0,0.42738351308110434,0.5605876006929247,0.5915556572648878,0.12894639858364637,0.3568751668480638,0.45096383313714555,0.4492406830662781
GMP,1.4866542745213287,1.790560020107977,0.4273835130811041,0.0,0.4900507267171282,0.856288393080418,0.40330050325311,0.6089910834125912,1.0469225296473426,1.084120830723301
MK,0.8870335201649637,1.2202670744156985,0.5605876006929248,0.4900507267171282,0.0,1.4600994802204847,0.6320592336539854,1.0935426693869048,1.3257763784651453,1.0558531278634375
MPP,3.6576924701552347,4.216932278468802,0.5915556572648868,0.8562883930804187,1.4600994802204863,0.0,0.4787871313738184,0.20077352257954406,0.5232429681768166,0.8089920382929674
CMP,2.245754601981188,2.713585987284253,0.1289463985836464,0.4033005032531099,0.632059233653985,0.4787871313738186,0.0,0.2594466945198153,0.43380319727978167,0.492628929194322
ST,3.058706801914189,3.549825578795888,0.35687516684806375,0.6089910834125919,1.0935426693869055,0.20077352257954423,0.2594466945198154,0.0,0.3956530105058891,0.6582753727580145
LT,3.521062356911939,4.1001072533951906,0.4509638331371456,1.046922529647342,1.3257763784651457,0.5232429681768166,0.43380319727978167,0.395653010505889,0.0,0.38672541132047705
CLP,2.9552409150094996,3.558827872650279,0.4492406830662782,1.0841208307233023,1.0558531278634373,0.8089920382929675,0.4926289291943219,0.6582753727580144,0.3867254113204772,0.0
