,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,-0.0005091550816203336,-0.0005091550816203334,-0.0005091550816203336,-0.0005091550816203338,-0.0005091550816203343,-0.0005091550816203333,-0.0005091550816203339,-0.0005091550816203336,-0.0005091550816203344,-0.0005091550816203344
MEP,-0.0005008224038279917,-0.000500822403827992,-0.0005008224038279912,-0.0005008224038279917,-0.0005008224038279921,-0.0005008224038279927,-0.0005008224038279912,-0.0005008224038279921,-0.0005008224038279914,-0.0005008224038279918
MKP,-0.0005290380174496123,-0.0005290380174496123,-0.0005290380174496116,-0.0005290380174496115,-0.0005290380174496115,-0.0005290380174496114,-0.0005290380174496116,-0.0005290380174496114,-0.0005290380174496119,-0.0005290380174496114
GMP,-0.0005250595636090725,-0.0005250595636090716,-0.0005250595636090726,-0.000525059563609073,-0.0005250595636090733,-0.0005250595636090724,-0.000525059563609073,-0.000525059563609073,-0.0005250595636090731,-0.0005250595636090729
MK,-0.0005235235500065649,-0.0005235235500065648,-0.0005235235500065653,-0.000523523550006565,-0.000523523550006565,-0.0005235235500065652,-0.0005235235500065649,-0.0005235235500065647,-0.000523523550006565,-0.000523523550006565
MPP,-0.0005326654998585445,-0.0005326654998585466,-0.0005326654998585448,-0.0005326654998585454,-0.0005326654998585453,-0.0005326654998585453,-0.0005326654998585453,-0.0005326654998585455,-0.0005326654998585455,-0.0005326654998585453
CMP,-0.0005306900425264726,-0.0005306900425264724,-0.0005306900425264729,-0.000530690042526473,-0.0005306900425264727,-0.0005306900425264727,-0.000530690042526473,-0.0005306900425264727,-0.0005306900425264729,-0.000530690042526473
ST,-0.0005303605276985515,-0.0005303605276985522,-0.0005303605276985516,-0.0005303605276985514,-0.0005303605276985519,-0.0005303605276985516,-0.0005303605276985516,-0.0005303605276985515,-0.0005303605276985519,-0.000530360527698552
LT,-0.0005331608775293373,-0.0005331608775293376,-0.0005331608775293374,-0.0005331608775293382,-0.0005331608775293379,-0.0005331608775293378,-0.0005331608775293377,-0.0005331608775293374,-0.0005331608775293378,-0.0005331608775293378
CLP,-0.0005320266373455029,-0.0005320266373455023,-0.0005320266373455026,-0.0005320266373455023,-0.0005320266373455028,-0.0005320266373455022,-0.0005320266373455024,-0.0005320266373455023,-0.0005320266373455023,-0.0005320266373455026
