,8,4,2
75,0.6068085346411274,0.8546020235934931,0.827740421611923
50,0.6628446345176847,0.7647361627456876,0.7156482259630214
25,0.6635584884684629,0.75216829128882,
0,0.7047924238878575,0.7991524324198088,
