,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,861.5971107117208,4329.22258125682,1113.8650059910335,1897.7035219095205,1771.7939212355266,2221.697221509784,1136.5593020096187,1264.4120254545035,1226.7292228012798,1119.9823714285917
MEP,4329.222581256838,719.3359795348623,3363.5092313322903,1678.2647537383848,8620.538365406564,1685.4381323570951,5745.584699282561,3073.824742106336,5836.266559223202,3835.171119900236
MKP,1113.8650059910376,3363.5092313322903,914.9316443455755,1328.6915891787544,2464.58194539122,1465.569730329743,1334.3122887541042,937.6774520354794,1353.5339115590568,956.3835218601156
GMP,1897.7035219095073,1678.264753738394,1328.6915891787567,856.1541311300564,4463.257779467098,912.1527315274406,2571.0378105756895,1201.8555405248842,2613.622891629729,1551.6416395428846
MK,1771.7939212355311,8620.538365406546,2464.58194539122,4463.257779467089,974.8866531404368,4864.911173478637,1352.7584139435298,2797.701979609632,1403.339553462039,2225.5780033543965
MPP,2221.697221509775,1685.4381323570906,1465.5697303297452,912.1527315274355,4864.911173478646,877.6624764560803,2809.641812483272,1289.4616030180234,2811.3146382157024,1679.6749307267246
CMP,1136.5593020096062,5745.584699282552,1334.3122887541065,2571.0378105756763,1352.758413943532,2809.6418124832676,965.2071066813098,1500.385146191287,983.9201972681763,1222.8654916796336
ST,1264.4120254545123,3073.8247421063534,937.6774520354829,1201.8555405248708,2797.701979609632,1289.461603018028,1500.3851461913027,915.9385386695161,1507.6453147823977,1004.2942041172214
LT,1226.7292228012823,5836.2665592232115,1353.5339115590568,2613.622891629707,1403.3395534620436,2811.3146382157024,983.9201972681818,1507.645314782393,973.025655756066,1219.3631750352845
CLP,1119.9823714285792,3835.1711199002275,956.3835218601139,1551.641639542878,2225.578003354405,1679.6749307267246,1222.8654916796313,1004.2942041172248,1219.3631750352845,937.7861568108939
