,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,1.3081157897453668e-15,0.12068193207177802,0.3322036772028904,0.22897634523835492,0.10320705309724114,0.5940547998278951,0.3400367637207443,0.5842452815199821,0.6558439890120422,0.5382030730547844
MEP,0.12068193207177819,1.1095957732935543e-15,0.35966252721622144,0.27536120091491467,0.25218722185340703,0.5777114421465629,0.390860760971666,0.5799372771048579,0.6463215588286103,0.5320881529740976
MKP,0.33220367720289046,0.3596625272162215,1.2393271936111213e-15,0.136301683300863,0.1898375230712303,0.21402001039403215,0.05762261856945643,0.16660134922597147,0.2453401599640239,0.21496682122964156
GMP,0.22897634523835486,0.2753612009149146,0.136301683300863,1.221970664670073e-15,0.14282876768850594,0.24734268370835166,0.1288710347554493,0.2614398100279363,0.3976224827503878,0.289206914015166
MK,0.10320705309724115,0.25218722185340703,0.18983752307123022,0.14282876768850586,1.314799086288367e-15,0.4294520855231269,0.20288798603507485,0.403236520471981,0.4678510422884624,0.3973434188066185
MPP,0.5940547998278953,0.5777114421465629,0.2140200103940321,0.24734268370835166,0.42945208552312697,1.1736675816886546e-15,0.1928023794818067,0.08649764456222218,0.24923877858040588,0.16459473964018134
CMP,0.3400367637207443,0.390860760971666,0.05762261856945647,0.12887103475544934,0.20288798603507474,0.19280237948180667,1.254880573526433e-15,0.18001162727190628,0.27285428892588925,0.2042077185856792
ST,0.5842452815199822,0.5799372771048579,0.16660134922597147,0.2614398100279363,0.403236520471981,0.08649764456222217,0.18001162727190628,1.2194224910708723e-15,0.15388789216005905,0.18960880271007677
LT,0.6558439890120421,0.6463215588286102,0.2453401599640239,0.3976224827503879,0.4678510422884624,0.24923877858040594,0.27285428892588925,0.15388789216005905,1.2670405023343213e-15,0.2321371937741695
CLP,0.5382030730547843,0.5320881529740976,0.21496682122964156,0.28920691401516607,0.3973434188066185,0.16459473964018134,0.20420771858567918,0.1896088027100768,0.23213719377416953,1.2048839603440499e-15
