,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,-0.005091550816203336,-0.005091550816203334,-0.005091550816203336,-0.005091550816203338,-0.005091550816203342,0.0006275391332284082,-0.004798562106491013,-0.0006124456063458439,-0.004738612554359806,-0.0047400129813682645
MEP,-0.005008224038279917,-0.00500822403827992,-0.0045909198722472845,-0.005008224038279916,-0.005008224038279921,0.017527964321084565,-0.004544581860167094,0.013345125112253529,-0.001742338014265393,-0.0022116057195362138
MKP,-0.005290380174496123,-0.004426463759347103,-0.005290380174496116,-0.005290380174496115,-0.005290380174496115,-0.0052903801744961145,-0.005290380174496116,-0.0052903801744961145,-0.005290380174496118,-0.0052903801744961145
GMP,-0.0052505956360907255,-0.005250595636090715,-0.005250595636090726,-0.005250595636090729,-0.005250595636090732,-0.005250595636090724,-0.005250595636090729,-0.005250595636090729,-0.00525059563609073,-0.005250595636090728
MK,-0.00523523550006565,-0.005235235500065648,-0.0052352355000656525,-0.005235235500065651,-0.005235235500065651,-0.005235235500065652,-0.005235235500065649,-0.005235235500065647,-0.005235235500065651,-0.005235235500065651
MPP,0.005673291004475093,0.018105963279951818,-0.005326654998585449,-0.005326654998585454,-0.005326654998585452,-0.005326654998585452,-0.005326654998585452,-0.005326654998585455,-0.005326654998585455,-0.005326654998585452
CMP,-0.004406942105896281,-0.004280385810143117,-0.005306900425264729,-0.00530690042526473,-0.005306900425264727,-0.005306900425264727,-0.00530690042526473,-0.005306900425264727,-0.005306900425264729,-0.00530690042526473
ST,0.0017401848115407032,0.015589442492011437,-0.005303605276985516,-0.005303605276985514,-0.005303605276985518,-0.005303605276985516,-0.005303605276985516,-0.0053036052769855156,-0.005303605276985518,-0.005303605276985519
LT,-0.003984619269898989,0.002305536677666944,-0.005331608775293374,-0.005331608775293382,-0.005331608775293379,-0.005331608775293378,-0.005331608775293376,-0.005331608775293374,-0.005331608775293377,-0.005331608775293377
CLP,-0.004324068026747995,-0.0019222615308346802,-0.005320266373455025,-0.0053202663734550236,-0.005320266373455028,-0.005320266373455022,-0.005320266373455024,-0.0053202663734550236,-0.005320266373455023,-0.005320266373455025
