,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,1.438134874452451,54.55627580125842,89.31791487141052,65.39669236133818,49.58841591897945,149.98409287420236,96.44810799027255,123.15162833461588,152.09869053758993,130.03250641451763
MEP,54.55627580125843,1.1957993230053159,122.24746564593973,74.96716309872987,132.03446915119517,155.27189809779563,155.41769029400962,151.82332439985862,206.19664772052676,167.62883063379257
MKP,89.3179148714105,122.24746564593985,1.378524264942985,21.429240169296456,41.37826766738512,25.558202827175904,8.542546202364901,12.156532482496088,24.720968157011413,17.811876539125464
GMP,65.39669236133814,74.9671630987298,21.429240169296435,1.3189554809535813,47.969420503109646,34.771473173557645,34.0526107553842,29.542265613699925,60.64623942157225,44.01875601263276
MK,49.5884159189794,132.034469151195,41.37826766738498,47.969420503109646,1.5505190902229855,92.61490864326885,32.83785159239754,61.182147473398956,63.48436520405264,61.065697583631234
MPP,149.98409287420216,155.27189809779568,25.558202827175947,34.771473173557645,92.61490864326893,1.2927697092773283,35.361067165788796,10.006091672193223,33.04691466388888,25.627364301209774
CMP,96.4481079902725,155.4176902940094,8.542546202364944,34.052610755384066,32.8378515923975,35.36106716578884,1.4609218046656474,15.262569770578697,20.790981554513614,20.836325302372213
ST,123.15162833461589,151.82332439985856,12.156532482496115,29.542265613699943,61.18214747339908,10.006091672193223,15.262569770578718,1.3564786251463499,18.58698091980584,17.75342228747407
LT,152.09869053758985,206.19664772052664,24.720968157011416,60.64623942157215,63.48436520405263,33.04691466388888,20.790981554513685,18.58698091980584,1.4512398777870343,16.285954026754975
CLP,130.03250641451768,167.62883063379246,17.811876539125496,44.01875601263276,61.06569758363128,25.627364301209774,20.836325302372213,17.753422287474113,16.285954026754933,1.3752053602768566
