,G,MEP,MKP,GMP,MK,MPP,CMP,ST,LT,CLP
G,1.3164309017899701e-18,9.804227078483212e-05,0.00029174414815099064,0.00019279530036017721,0.0001230614853107825,0.00048340907382419135,0.00030933337628395307,0.00042652637602768955,0.0004917575951084182,0.00043998241015169565
MEP,9.804227078483196e-05,1.136595026973785e-18,0.0003518685019507808,0.00026464688994312755,0.0002608553366191388,0.0005271402796336583,0.0004136948543904265,0.0004914331945400738,0.0005563482824923055,0.0005028077803595464
MKP,0.0002917441481509907,0.00035186850195078077,1.2275506758639051e-18,4.293593071944515e-05,8.397832891546698e-05,6.051578752541591e-05,1.2100578668087138e-05,3.304094528194015e-05,4.4941332526032496e-05,4.073616444955503e-05
GMP,0.00019279530036017732,0.0002646468899431277,4.2935930719445085e-05,1.0989383196017891e-18,6.779304450526019e-05,8.83838086402955e-05,4.7530886369998585e-05,7.254342449030162e-05,0.00013753228426041132,0.00010350690356858867
MK,0.0001230614853107824,0.00026085533661913897,8.397832891546714e-05,6.779304450526009e-05,1.4278999890239472e-18,0.000200749394281503,7.188005135715235e-05,0.00015135276419221919,0.00017776437643490176,0.00017129584472966986
MPP,0.0004834090738241914,0.0005271402796336584,6.051578752541589e-05,8.838380864029548e-05,0.0002007493942815029,1.2771987618185643e-18,5.988366211924028e-05,1.440519830900695e-05,6.0793004304180844e-05,4.419048006912674e-05
CMP,0.0003093333762839532,0.0004136948543904264,1.2100578668087182e-05,4.7530886369998585e-05,7.188005135715235e-05,5.988366211924028e-05,1.367071184728171e-18,3.0585285133816934e-05,4.572418299241218e-05,4.632958070892084e-05
ST,0.0004265263760276896,0.0004914331945400739,3.304094528194019e-05,7.254342449030165e-05,0.00015135276419221919,1.4405198309006994e-05,3.0585285133816954e-05,1.2727200467456884e-18,3.362088929084104e-05,3.757525136972753e-05
LT,0.0004917575951084181,0.0005563482824923056,4.494133252603254e-05,0.00013753228426041124,0.00017776437643490176,6.0793004304180803e-05,4.572418299241217e-05,3.362088929084104e-05,1.456166488500935e-18,3.79051996361564e-05
CLP,0.0004399824101516956,0.0005028077803595464,4.073616444955506e-05,0.00010350690356858865,0.0001712958447296699,4.419048006912683e-05,4.632958070892079e-05,3.7575251369727515e-05,3.790519963615637e-05,1.3389915948378164e-18
