,arc_pair_48468,arc_pair_313438,arc_pair_450035,arc_pair_384979,arc_pair_119264,arc_pair_16513,arc_pair_641885,arc_pair_703887,arc_pair_89302
arc_pair_48468,0.0,9.75236671974083,16.393227869755478,14.957306270746376,22.04313011176622,23.971941692422195,22.797612319159356,22.79579827185433,12.269312365814445
arc_pair_313438,9.75236671974083,0.0,8.49781400274476,6.672180931210251,12.408622309636074,13.84315865158192,12.865148251159384,12.473496333849297,6.024103011431988
arc_pair_450035,16.393227869755478,8.49781400274476,0.0,3.495173054960323,4.568890531188086,2.6351766241536,4.519357028810397,4.151555264008298,9.511696255001649
arc_pair_384979,14.957306270746376,6.672180931210251,3.495173054960323,0.0,4.515208185597292,5.926761765432906,5.430594329083501,6.1686589629542805,7.258539765107198
arc_pair_119264,22.04313011176622,12.408622309636074,4.568890531188086,4.515208185597292,0.0,4.084334433550548,4.5376126119209275,4.897262628645484,12.41441505469916
arc_pair_16513,23.971941692422195,13.84315865158192,2.6351766241536,5.926761765432906,4.084334433550548,0.0,3.492117278956008,3.8728392318136997,14.781914951166463
arc_pair_641885,22.797612319159356,12.865148251159384,4.519357028810397,5.430594329083501,4.5376126119209275,3.492117278956008,0.0,3.903907322297166,13.014725183434111
arc_pair_703887,22.79579827185433,12.473496333849297,4.151555264008298,6.1686589629542805,4.897262628645484,3.8728392318136997,3.903907322297166,0.0,13.223496754116457
arc_pair_89302,12.269312365814445,6.024103011431988,9.511696255001649,7.258539765107198,12.41441505469916,14.781914951166463,13.014725183434111,13.223496754116457,0.0
