,cell547_K562_,cell256_HeLa_,cell363_HeLa_,cell501_K562_,cell227_HAP1_,cell605_GM12878_,cell25_HeLa_,cell571_GM12878_,cell514_K562_,cell502_GM12878_,cell373_HAP1_,cell381_HAP1_
cell547_K562_,0.0,1501.7080493785534,1323.1397045864785,1302.5187872674433,1660.294590519773,1381.5922124506656,1364.8913943868683,1284.0061275652429,1166.1894991171926,1336.9916051873506,1374.732913057709,1483.651515482764
cell256_HeLa_,1501.7080493785534,0.0,1041.7113338042238,1114.7018732130766,1264.659560989176,1164.4598219312545,1103.4297178883542,1089.3031913723064,1064.6982622961011,926.1289945665324,1278.0164620413966,1128.1447281644337
cell363_HeLa_,1323.1397045864785,1041.7113338042238,0.0,1080.9577669647574,1221.496945471652,933.014110060893,899.7570973878298,947.572602653944,769.7478399977203,944.48937555779,1247.5498295654627,976.4084937260551
cell501_K562_,1302.5187872674433,1114.7018732130766,1080.9577669647574,0.0,1201.5154591529445,943.33632843006,933.2614228922064,929.725259128276,680.3066955653585,874.2890157555994,940.0432670799137,942.3962033604196
cell227_HAP1_,1660.294590519773,1264.659560989176,1221.496945471652,1201.5154591529445,0.0,1145.5270222474342,1375.7503211455214,1302.3036061612597,1081.482618130705,1270.8046801201567,1464.6128230353706,1213.1630124619433
cell605_GM12878_,1381.5922124506656,1164.4598219312545,933.014110060893,943.33632843006,1145.5270222474342,0.0,968.1915748883671,859.570715561733,862.9077461205376,787.2231686327834,1282.121119378652,922.83874843148
cell25_HeLa_,1364.8913943868683,1103.4297178883542,899.7570973878298,933.2614228922064,1375.7503211455214,968.1915748883671,0.0,940.5178401617586,894.3630772239936,889.5628574934825,1112.6825632374394,879.7217351090283
cell571_GM12878_,1284.0061275652429,1089.3031913723064,947.572602653944,929.725259128276,1302.3036061612597,859.570715561733,940.5178401617586,0.0,768.5339602234698,741.5040588873862,1217.3512075387412,916.0721031309911
cell514_K562_,1166.1894991171926,1064.6982622961011,769.7478399977203,680.3066955653585,1081.482618130705,862.9077461205376,894.3630772239936,768.5339602234698,0.0,758.4658398463022,1100.6183336145518,923.1814266334571
cell502_GM12878_,1336.9916051873506,926.1289945665324,944.48937555779,874.2890157555994,1270.8046801201567,787.2231686327834,889.5628574934825,741.5040588873862,758.4658398463022,0.0,1259.5050576181761,741.5576180404485
cell373_HAP1_,1374.732913057709,1278.0164620413966,1247.5498295654627,940.0432670799137,1464.6128230353706,1282.121119378652,1112.6825632374394,1217.3512075387412,1100.6183336145518,1259.5050576181761,0.0,1168.5055053522808
cell381_HAP1_,1483.651515482764,1128.1447281644337,976.4084937260551,942.3962033604196,1213.1630124619433,922.83874843148,879.7217351090283,916.0721031309911,923.1814266334571,741.5576180404485,1168.5055053522808,0.0
