,cell547_K562_,cell256_HeLa_,cell363_HeLa_,cell227_HAP1_,cell605_GM12878_,cell514_K562_,cell502_GM12878_,cell373_HAP1_
cell547_K562_,0.0,2551.0395102585326,2437.7615511097547,2730.8908497774187,2428.8283090501054,2193.5779995628727,2286.957634241806,2489.4630713371953
cell256_HeLa_,2551.0395102585326,0.0,1985.4467901887624,2053.0233564750365,1904.3089320732047,1636.3564877380857,1649.8805486570639,2062.3883976756993
cell363_HeLa_,2437.7615511097547,1985.4467901887624,0.0,1979.6221256135807,1794.824705141599,1477.2306652921925,1636.6337204452207,1977.2782793861918
cell227_HAP1_,2730.8908497774187,2053.0233564750365,1979.6221256135807,0.0,2003.2626642534071,1701.3056280374806,1908.539227990584,1962.0362053184083
cell605_GM12878_,2428.8283090501054,1904.3089320732047,1794.824705141599,2003.2626642534071,0.0,1433.583949819211,1593.2129764908714,2038.6319049752956
cell514_K562_,2193.5779995628727,1636.3564877380857,1477.2306652921925,1701.3056280374806,1433.583949819211,0.0,1171.0648113119646,1553.357430904005
cell502_GM12878_,2286.957634241806,1649.8805486570639,1636.6337204452207,1908.539227990584,1593.2129764908714,1171.0648113119646,0.0,1726.659609023707
cell373_HAP1_,2489.4630713371953,2062.3883976756993,1977.2782793861918,1962.0362053184083,2038.6319049752956,1553.357430904005,1726.659609023707,0.0
