,cell547_K562_,cell256_HeLa_,cell363_HeLa_,cell501_K562_,cell227_HAP1_,cell605_GM12878_,cell25_HeLa_,cell571_GM12878_,cell514_K562_,cell502_GM12878_,cell373_HAP1_,cell381_HAP1_
cell547_K562_,0.0,4886.98129147497,4909.035793859298,4464.790560387574,4365.176480122243,4493.869211343556,4750.968566252241,4649.959432658906,4518.692567354961,4541.58578827063,4434.223630317646,5489.2358032378825
cell256_HeLa_,4886.98129147497,0.0,5107.131367188843,4466.839533771868,4611.309302671193,4518.465611908141,3869.592075676255,4594.493171915777,4007.923037075834,4257.974939955765,4920.458490685653,5088.743645565273
cell363_HeLa_,4909.035793859298,5107.131367188843,0.0,4230.857071175249,3953.5520399947436,4380.300736617819,4529.896784360756,4683.344995342435,4149.301188558247,4536.506318910269,4181.022501765032,4740.720842001096
cell501_K562_,4464.790560387574,4466.839533771868,4230.857071175249,0.0,3832.981778240929,4274.956564542637,4106.293256425674,3917.9464644770296,3850.219314309657,3943.8431534552687,3683.9994407366503,4191.446057387209
cell227_HAP1_,4365.176480122243,4611.309302671193,3953.5520399947436,3832.981778240929,0.0,4176.947764074459,4303.134409261798,4079.5028353062803,3865.104432610591,4060.890309223921,3826.3429364617555,4209.169407480478
cell605_GM12878_,4493.869211343556,4518.465611908141,4380.300736617819,4274.956564542637,4176.947764074459,0.0,4568.431979529285,4372.629392534517,4042.0995251041695,4422.829642932367,4112.426500743255,4380.954861354461
cell25_HeLa_,4750.968566252241,3869.592075676255,4529.896784360756,4106.293256425674,4303.134409261798,4568.431979529285,0.0,4401.860428346727,4003.4956786174707,3945.742064607378,4308.409771991347,5087.504450919456
cell571_GM12878_,4649.959432658906,4594.493171915777,4683.344995342435,3917.9464644770296,4079.5028353062803,4372.629392534517,4401.860428346727,0.0,3819.2761318184566,3967.9918666479243,4007.249047963508,4917.385431967168
cell514_K562_,4518.692567354961,4007.923037075834,4149.301188558247,3850.219314309657,3865.104432610591,4042.0995251041695,4003.4956786174707,3819.2761318184566,0.0,4030.604319499862,4156.124118650788,4450.6053624643955
cell502_GM12878_,4541.58578827063,4257.974939955765,4536.506318910269,3943.8431534552687,4060.890309223921,4422.829642932367,3945.742064607378,3967.9918666479243,4030.604319499862,0.0,3935.8202049435413,4521.20311721942
cell373_HAP1_,4434.223630317646,4920.458490685653,4181.022501765032,3683.9994407366503,3826.3429364617555,4112.426500743255,4308.409771991347,4007.249047963508,4156.124118650788,3935.8202049435413,0.0,4123.698138429709
cell381_HAP1_,5489.2358032378825,5088.743645565273,4740.720842001096,4191.446057387209,4209.169407480478,4380.954861354461,5087.504450919456,4917.385431967168,4450.6053624643955,4521.20311721942,4123.698138429709,0.0
